record_id,run_idx,record_idx,timestamp,model,prompt,target,company,ok,text,text_len_chars,text_len_words,language,aspect,esg,tone_pred,sentiment,sentiment_score,labels,reasoning,suggested_tone,suggestion_source,silver_tone_ground_truth,needs_human_review,schema_drift,has_climate_commitment,has_environmental_claims,has_climate_d,ground_truth_tone,ground_truth_esg,ground_truth_aspect,annotator,review_notes,review_status
r000_002,0,2,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,BEST-SR_2024_pdf/batch_8,BEST-SR_2024,True,BeFa reaffirms its dedication to leadership excellence by promoting the professional development of its Board of Directors. Each board member is given the opportunity to participate in a specialized competency enhancement program designed to provide them with the latest industry knowledge and strategic insights.,313,44,en,governance,g,action,neutral,0.0,governance,The text describes BeFa's action to promote professional development of its Board of Directors through competency enhancement programs. This is an ongoing action rather than a measurable outcome.,none,fallback_none,action,False,False,False,False,False,,,,,,needs_review
r006_010,6,10,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 5 Agustus 2024, VSI dan BYD telah mengadakan Perjanjian Lisensi Teknis Perakitan KD. Berdasarkan Perjanjian tersebut, VSI sebagai Penerima Lisensi dan BYD sebagai Pemberi Lisensi yang dimana mengatur tentang pemberian Hak Produksi.",244,34,id,climate-detection,e,action,neutral,0.0,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,"The text mentions the signing of a Technical Assembly KD License Agreement between VSI and BYD, outlining the grant of Production Rights. This is an action without a measurable result, hence neutral sentiment.",outcome,lexical_outcome,action,False,False,False,True,True,,,,,,needs_review
r043_001,43,1,2026-04-08T02:53:20.718700Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Keberhasilan pembangunan fasilitas perakitan kendaraan listrik di Magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional. Dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri, VKTR memperluas cakupan dampak transformasi, dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial.",362,44,id,climate-detection,e,action,positive,0.8,climate-d|climate-specificity|climate-commitment|climate-sentiment|climate-s,"Teks menyoroti pembangunan fasilitas kendaraan listrik sebagai langkah nyata menuju industrialisasi hijau, dengan dampak positif pada teknologi, ekonomi, dan sosial. Ini menunjukkan komitmen dan tindakan konkret terkait isu iklim.",outcome,lexical_outcome,action,False,False,True,False,True,,,,,,needs_review
r014_001,14,1,2026-04-08T02:44:58.986814Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",220,37,en,climate-action,e,action,positive,0.8,climate-action|metrics|climate-sentiment,Describes specific actions taken and their positive outcome in reducing emissions.,action,lexical_or_climate_action,action,False,False,False,False,False,,,,,,needs_review
r048_011,48,11,2026-04-08T02:53:38.374726Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"Ketegasan terhadap antikorupsi diimplementasikan Perusahaan antara lain dengan tidak memberi dan menerima hadiah serta gratifikasi yang diperkirakan akan memengaruhi independensi dalam proses pengambilan keputusan, serta bertentangan dengan etika bisnis yang sehat dan/atau bertentangan dengan hukum yang berlaku.",313,38,id,governance,g,action,neutral,0.0,governance|none,Describes specific anti-corruption actions including prohibition of gifts and gratuities that could influence decision-making.,commitment,lexical_or_climate_commitment,action,False,False,False,False,False,,,,,,needs_review
r079_003,79,3,2026-04-08T02:57:57.544080Z,arcee-ai/trinity-large-preview:free,tone_few_shot_indonesian.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol.",403,54,id,sinergi pengembangan energi bersih,e,action,neutral,0.0,action|environmental-claims,Tindakan nyata tanpa hasil terukur yang disebutkan.,commitment,lexical_or_climate_commitment,action,False,False,False,True,False,,,,,,needs_review
r043_010,43,10,2026-04-08T02:53:20.718700Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 5 Agustus 2024, VSI dan BYD telah mengadakan Perjanjian Lisensi Teknis Perakitan KD. Berdasarkan Perjanjian tersebut, VSI sebagai Penerima Lisensi dan BYD sebagai Pemberi Lisensi yang dimana mengatur tentang pemberian Hak Produksi.",244,34,id,climate-detection,e,action,neutral,0.0,climate-d|climate-specificity|climate-commitment|climate-sentiment|climate-s,"Teks menggambarkan tindakan nyata dalam bentuk perjanjian lisensi teknis untuk perakitan kendaraan listrik, yang mendukung tujuan transportasi berkelanjutan. Ini menunjukkan komitmen dan tindakan terkait isu iklim.",outcome,lexical_outcome,action,False,False,True,False,True,,,,,,needs_review
r027_003,27,3,2026-04-08T02:47:30.399111Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,"In addition to compliance with the Company Law, the issuance of this report is also an effort of BeFa to comply with the provisions of the Financial Services Authority Regulation No.51/POJK.03/2017 (POJK 51/2017) concerning the Implementation of Sustainable Finance for Financial Service Institutions, Issuers, and Public Companies.",332,52,en,governance,g,action,neutral,0.0,governance,The text describes compliance action with financial regulations for sustainable finance.,none,fallback_none,action,False,False,False,False,False,,,,,,needs_review
r048_013,48,13,2026-04-08T02:53:38.374726Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"Selaras dengan itu, sejak tahun 2020, PTBA telah mengadopsi sertifikasi Sistem Manajemen Anti Penyuapan (SMAP) ISO 37001:2016.",126,18,id,governance,g,action,neutral,0.0,governance|none,Describes specific action of adopting ISO 37001:2016 Anti-Bribery Management System certification.,outcome,lexical_outcome,action,False,False,False,False,False,,,,,,needs_review
r012_008,12,8,2026-04-08T02:44:57.770079Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"Pelaporan Pelanggaran dapat disampaikan kepada Perusahaan melalui media yang telah disediakan, yaitu: Website : http://www.ptba.co.id Email : spp@bukitasam.co.id Telepon : +62 21 527 4635",187,28,id,governance,g,action,neutral,0.0,governance|climate-d,Action providing multiple channels for reporting violations.,outcome,lexical_outcome,action,False,False,False,False,True,,,,,,needs_review
r048_016,48,16,2026-04-08T02:53:38.374726Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"Untuk mencegah terjadinya korupsi di bagian tersebut, Perseroan telah melakukan mitigasi berupa penerapan prinsip dan",117,15,id,governance,g,action,neutral,0.0,governance|none,Describes mitigation actions to prevent corruption in high-risk areas.,outcome,lexical_outcome,action,False,False,False,False,False,,,,,,needs_review
r006_008,6,8,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 16 Februari 2024, Perusahaan menandatangani Perjanjian Kerahasiaan dengan MHN. Perusahaan dan MHN sepakat bahwa Perusahaan akan bekerjasama dengan MHN untuk mendiskusikan peluang bisnis atas proyek kendaraan listrik.",229,29,id,climate-detection,e,action,neutral,0.0,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,"The text describes the signing of a Non-Disclosure Agreement with MHN to discuss business opportunities for electric vehicle projects. This is an action without a measurable result, hence neutral sentiment.",commitment,lexical_or_climate_commitment,action,False,False,False,True,True,,,,,,needs_review
r084_009,84,9,2026-04-08T02:59:48.386540Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,BEST-SR_2024_pdf/batch_11,BEST-SR_2024,True,"BeFa's approach to Strategic Social Responsibility (SR) is anchored in its commitment to sustainable economic, social, and environmental development.",149,20,en,climate-detection,e,commitment,neutral,0.0,climate-d|climate-commitment|environmental-claims,"The text indicates a commitment to sustainable economic, social, and environmental development. This is a future-oriented statement without specific outcomes.",commitment,lexical_or_climate_commitment,commitment,False,False,True,True,True,,,,,,needs_review
r006_003,6,3,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"VKTR terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon. Perjalanan ini bukan sekadar menghadirkan produk, tetapi membentuk sistem, sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi, tanggung jawab lingkungan, dan tekad kolektif membangun Indonesia yang lebih hijau dan tangguh.",336,44,id,climate-detection,e,commitment,neutral,0.0,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,"The text emphasizes VKTR's ongoing role in the national effort toward a low-carbon transportation future, focusing on building a system and ecosystem with environmental responsibility. This is a commitment with neutral sentiment.",commitment,lexical_or_climate_commitment,commitment,False,False,True,True,False,,,,,,needs_review
r043_002,43,2,2026-04-08T02:53:20.718700Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"VKTR terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon. Perjalanan ini bukan sekadar menghadirkan produk, tetapi membentuk sistem, sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi, tanggung jawab lingkungan, dan tekad kolektif membangun Indonesia yang lebih hijau dan tangguh.",336,44,id,climate-detection,e,commitment,positive,0.7,climate-d|climate-specificity|climate-commitment|climate-sentiment|climate-s,"Teks menekankan peran VKTR dalam membangun ekosistem transportasi rendah karbon, dengan fokus pada tanggung jawab lingkungan dan masa depan yang lebih hijau. Ini mencerminkan komitmen jangka panjang terhadap isu iklim.",commitment,lexical_or_climate_commitment,commitment,False,False,True,False,True,,,,,,needs_review
r080_008,80,8,2026-04-08T02:57:58.925003Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_21,vktr_ar_sr_2024,True,"On January 30, 2024, VSI, a Subsidiary, and GEI entered into a Non-Disclosure Agreement regarding business opportunities for project of Preparation of Environmental Impact Assessment (AMDAL) and Administration of Online Single Submission. The term of this agreement is three (3) years after the date of the execution of this Agreement.",335,51,en,climate-detection,e,commitment,neutral,0.5,climate-d|climate-commitment|strategy|opportunity,"The text describes a commitment to a project involving environmental impact assessment, indicating a neutral sentiment as it is a future-oriented plan.",commitment,lexical_or_climate_commitment,commitment,False,False,True,False,True,,,,,,needs_review
r014_000,14,0,2026-04-08T02:44:58.986814Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",141,26,en,climate-commitment,e,commitment,neutral,0.0,climate-commitment|netzero-reduction|climate-f,Statement about future targets without current action or outcome.,commitment,lexical_or_climate_commitment,commitment,False,False,True,False,False,,,,,,needs_review
