review_id,label,tone_pred,sentiment_pred,ontology_path,mapping_method,mapping_confidence,proposed_ontology_path,proposed_t2_label,suggested_rule_tone,suggested_hybrid_tone,suggested_sentiment,review_status,review_notes,text_for_topic
a28_5c2cff6851e7,Jasamarga_SR2023_pdf/batch_1/rec_7,Unknown,Neutral,Social → Education; General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Neutral,needs_review,,"Setiap tahunnya, dalam rangka melakukan akselerasi kompetensi Karyawan yang sesuai dengan arahan strategis Perseroan ke depan, Program Pembelajaran & Pengembangan Karyawan senantiasa dilakukan kepada seluruh level jabatan Karyawan di Jasa Marga"
a28_ea2a93d2670b,Indonet-Annual-Report-2022_pdf/batch_20/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_92928eebef11,Jasamarga_SR2023_pdf/batch_1/rec_6,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Neutral,needs_review,,Tingkat Partisipasi Karyawan dalam Program Pensiun Berdasarkan Skema [201-3]
a28_5e0c0398bafc,Jasamarga_SR2023_pdf/batch_1/rec_6,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Neutral,needs_review,,Tingkat Partisipasi Karyawan dalam Program Pensiun Berdasarkan Skema [201-3]
a28_d46df754d100,Jasamarga_SR2023_pdf/batch_1/rec_6,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Neutral,needs_review,,Tingkat Partisipasi Karyawan dalam Program Pensiun Berdasarkan Skema [201-3]
a28_81c0ba613061,Indonet-Annual-Report-2022_pdf/batch_19/rec_5,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Unknown,Unknown,Neutral,needs_review,,"The deferred tax assets for the years ended 31 December 2022 and 2021 are presented in the table, showing amounts related to employee benefits, long‑term liabilities, fixed assets, and other items."
a28_76339345acc5,Indonet-Annual-Report-2022_pdf/batch_17/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_6c852138965b,Indonet-Annual-Report-2022_pdf/batch_18/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_21ab1bd8e343,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5/rec_1,Action,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Commitment,Commitment,Positive,needs_review,,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG)."
a28_50ee7ff19f5d,Indonet-Annual-Report-2022_pdf/batch_19/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_6c9563ee4aee,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5/rec_3,Unknown,Neutral,Social → Partnership; Environmental → Energy Efficiency; Environmental → Emission Reduction; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol."
a28_c0d8e82714bd,Indonet-Annual-Report-2022_pdf/batch_4/rec_18,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"The following discussion and analysis refers to the Company's Financial Statements for the dates and year that ended on December 31, 2022 which have been audited by KAP Tanudiredja, Wibisana, Rintis &amp; Partners (a member of PwC Indonesia) in its report on March 28, 2023 with an opinion that the Company's consolidated financial statements have been presented fairly in all material respects with numbers' comparison as of December 31, 2022 which was audited by KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_b33012c79fe1,Indonet-Annual-Report-2022_pdf/batch_4/rec_18,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"The following discussion and analysis refers to the Company's Financial Statements for the dates and year that ended on December 31, 2022 which have been audited by KAP Tanudiredja, Wibisana, Rintis &amp; Partners (a member of PwC Indonesia) in its report on March 28, 2023 with an opinion that the Company's consolidated financial statements have been presented fairly in all material respects with numbers' comparison as of December 31, 2022 which was audited by KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_a3e264848582,Indonet-Annual-Report-2022_pdf/batch_6/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_4cf02ce97e62,Indonet-Annual-Report-2022_pdf/batch_8/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_bc7af9324a82,Indonet-Annual-Report-2022_pdf/batch_9/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_1c427c5cbd11,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5/rec_12,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Commitment,Commitment,Positive,needs_review,,Komitmen antikorupsi tersebut dikukuhkan dengan beberapa kebijakan di PTBA di antaranya Keputusan Bersama Dewan Komisaris dan Direksi PTBA Nomor:10/SK/PTBA-DEKOM/IX/2020 dan Nomor:400/0100/2020 tentang Penerapan Prinsip dan Praktik Good Corporate Governance Untuk Kebijakan Anti Gratifikasi di PT Bukit Asam Tbk dan Pedoman Pengendalian Gratifikasi BAAGM:03 Nomor Revisi 1 tahun 2024.
a28_09047c8eebdf,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5/rec_12,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Commitment,Commitment,Positive,needs_review,,Komitmen antikorupsi tersebut dikukuhkan dengan beberapa kebijakan di PTBA di antaranya Keputusan Bersama Dewan Komisaris dan Direksi PTBA Nomor:10/SK/PTBA-DEKOM/IX/2020 dan Nomor:400/0100/2020 tentang Penerapan Prinsip dan Praktik Good Corporate Governance Untuk Kebijakan Anti Gratifikasi di PT Bukit Asam Tbk dan Pedoman Pengendalian Gratifikasi BAAGM:03 Nomor Revisi 1 tahun 2024.
a28_b64ebb9b779c,Indonet-Annual-Report-2022_pdf/batch_7/rec_1,Commitment,Neutral,Environmental → Energy Efficiency; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Positive,needs_review,,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy."
a28_3f2adbe176c6,BEST-SR_2024_pdf/batch_11/rec_3,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Unknown,Unknown,Positive,needs_review,,"In its pursuit of this vision, BeFa is evolving into a Smart Eco-Industrial Park. This initiative focuses on promoting sustainable development through the incorporation of advanced technologies, smart infrastructure, and environmentally friendly practices that benefit both the community and the ecosystem."
a28_53bce574b22e,BEST-SR_2024_pdf/batch_11/rec_3,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Unknown,Unknown,Positive,needs_review,,"In its pursuit of this vision, BeFa is evolving into a Smart Eco-Industrial Park. This initiative focuses on promoting sustainable development through the incorporation of advanced technologies, smart infrastructure, and environmentally friendly practices that benefit both the community and the ecosystem."
a28_ccd6d339de8b,BEST-SR_2024_pdf/batch_11/rec_6,Unknown,Positive,Social → Education; General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Neutral,needs_review,,Education and workforce training programs aimed at enhancing skills and employability.
a28_98e88902cbad,BEST-SR_2024_pdf/batch_11/rec_16,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Unknown,Unknown,Neutral,needs_review,,BeFa prioritizes the well-being of its workforce by implementing a robust Occupational Health and Safety (OHS) framework.
a28_ac629bd267ea,BEST-SR_2024_pdf/batch_11/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Positive,needs_review,,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization."
a28_97aa7940e49f,BEST-SR_2024_pdf/batch_11/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Positive,needs_review,,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization."
a28_c20402dfbf32,BEST-SR_2024_pdf/batch_11/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Positive,needs_review,,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization."
a28_5c445df9b844,BEST-SR_2024_pdf/batch_11/rec_22,Unknown,Neutral,Social → Welfare; General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Positive,needs_review,,"This includes initiatives such as hiring local workers, supporting religious and cultural programs, and engaging in various social development activities that foster stronger community relationships."
a28_fc991d9b9202,BEST-SR_2024_pdf/batch_11/rec_9,Unknown,Positive,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Positive,needs_review,,Health programs designed to improve public access to essential medical services.
a28_7fa502841eef,BEST-SR_2024_pdf/batch_11/rec_27,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Unknown,Unknown,Positive,needs_review,,"However, sustainability considerations are embedded within the Company's broader governance framework."
a28_636de6697c7f,BEST-SR_2024_pdf/batch_11/rec_29,Unknown,Positive,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Positive,needs_review,,"In 2024, the person in charge of sustainability did not participate in various training and/or competency improvement programs related to sustainability."
a28_407d57479876,BEST-SR_2024_pdf/batch_11/rec_30,Unknown,Neutral,Social → Welfare; General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Neutral,needs_review,,"However, such programs have been scheduled for the Community Relations (CSR) Department in 2025."
a28_3ae7d8544d7f,BEST-SR_2024_pdf/batch_11/rec_17,Unknown,Neutral,Social → Worker Safety; General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Action,Action,Negative,needs_review,,"This includes risk mitigation strategies, the provision of personal protective equipment, regular workplace safety assessments, and structured OHS training programs."
a28_9377a52ad9e5,icr-sustainability-23-24_pdf/batch_8/rec_2,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Outcome,Outcome,Neutral,needs_review,,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19."
a28_bb0ccd341ac8,icr-sustainability-23-24_pdf/batch_8/rec_4,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Neutral,needs_review,,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects."
a28_1565d929845a,icr-sustainability-23-24_pdf/batch_8/rec_7,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Positive,needs_review,,"The new Concordat for the Environmental Sustainability of Research and Innovation Practice primary aims are to promote environmentally responsible practices in research and innovation, reducing negative environmental impacts and emissions associated with these activities."
a28_6652a591712d,AR SR GTRA 2024___pdf/batch_6/rec_15,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Unknown,Unknown,Neutral,needs_review,,The chief operating decision-maker has been identified as the Board of Directors that makes strategic decisions.
a28_f21055652a42,AR SR GTRA 2024___pdf/batch_6/rec_15,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Unknown,Unknown,Neutral,needs_review,,The chief operating decision-maker has been identified as the Board of Directors that makes strategic decisions.
a28_7e3626624019,icr-sustainability-23-24_pdf/batch_8/rec_16,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Positive,needs_review,,The carbon emissions from commuter travel for 2024 were calculated to be 568 tonnes of CO₂e. This has increased from the previous report of 539.
a28_0b051536cad5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6/rec_2,Action,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Commitment,Commitment,Positive,needs_review,,"PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG)."
a28_b6eb674aa5f1,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_71ac127af252,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_f86e0e303212,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_73605d677719,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_0203420c82b0,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
