text,filename,page_number,counter,number
[],sustainability-report-2023.pdf,0,sustainability-report-2023.pdf | Page 0,1
[],sustainability-report-2023.pdf,1,sustainability-report-2023.pdf | Page 1,2
"[
    {
        ""sentence"": ""The CSRD will elevate sustainability reporting to the same level as financial reporting, marking a significant milestone for KPMG Norway and the European business sector as a whole."",
        ""aspect"": ""CSRD compliance"",
        ""aspect_category"": ""G"",
        ""ontology_uri"": ""SDG17"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.93
    },
    {
        ""sentence"": ""we must also continue to look for areas of improvement within our own organization and practices."",
        ""aspect"": ""internal governance practices"",
        ""aspect_category"": ""G"",
        ""ontology_uri"": ""GRI3500"",
        ""sentiment"": ""positive"",
        ""tone"": ""Commitment"",
        ""confidence"": 0.96
    },
    {
        ""sentence"": ""we are fully committed to transparency regarding our impacts, our goals for change, and our plans for progress."",
        ""aspect"": ""transparency and governance"",
        ""aspect_category"": ""G"",
        ""ontology_uri"": ""GRI3500"",
        ""sentiment"": ""positive"",
        ""tone"": ""Commitment"",
        ""confidence"": 0.95
    },
    {
        ""sentence"": ""Our greatest potential for positive change across all ESG categories comes from our work with clients."",
        ""aspect"": ""client collaboration for ESG initiatives"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""SDG12"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.89
    },
    {
        ""sentence"": ""Our greatest potential for positive change across all ESG categories comes from our work with clients."",
        ""aspect"": ""client collaboration for ESG initiatives"",
        ""aspect_category"": ""S"",
        ""ontology_uri"": ""SDG10"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.89
    },
    {
        ""sentence"": ""Our greatest potential for positive change across all ESG categories comes from our work with clients."",
        ""aspect"": ""client collaboration for ESG initiatives"",
        ""aspect_category"": ""G"",
        ""ontology_uri"": ""SDG17"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.89
    }
]",sustainability-report-2023.pdf,2,sustainability-report-2023.pdf | Page 2,3
"[
  {
    ""sentence"": ""This year we have chosen to move away from the WEF structure in favor of an Environmental, Social, and Governance (ESG) structure based on our preparations for becoming compliant with the EU's Corporate Sustainability Reporting Directive (CSRD), which KPMG will be covered by in 2026."",
    ""aspect"": ""CSRD preparation"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.9
  },
  {
    ""sentence"": ""The adoption of the CSRD framework has initiated the journey to level sustainability reporting with financial reporting, thus increasing transparency and accountability of corporate sustainability performance."",
    ""aspect"": ""transparency improvement"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.9
  },
  {
    ""sentence"": ""As we are ramping up to become CSRD-compliant, we are currently conducting a double materiality analysis that will be part of next year's report when we likewise are planning to conduct a thorough stakeholder analysis."",
    ""aspect"": ""double materiality analysis"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI205"",
    ""sentiment"": ""neutral"",
    ""tone"": ""Action"",
    ""confidence"": 0.95
  }
]",sustainability-report-2023.pdf,3,sustainability-report-2023.pdf | Page 3,4
"[{""sentence"":""Environment"",""aspect"":""environmental initiatives"",""aspect_category"":""E"",""ontology_uri"":""GRI303"",""sentiment"":""neutral"",""tone"":""Commitment"",""confidence"":0.6},{""sentence"":""Social Inclusion"",""aspect"":""social inclusion"",""aspect_category"":""S"",""ontology_uri"":""SDG10"",""sentiment"":""neutral"",""tone"":""Commitment"",""confidence"":0.6},{""sentence"":""Diversity"",""aspect"":""diversity initiatives"",""aspect_category"":""S"",""ontology_uri"":""SDG5"",""sentiment"":""neutral"",""tone"":""Commitment"",""confidence"":0.6},{""sentence"":""Equity initiatives"",""aspect"":""equity"",""aspect_category"":""S"",""ontology_uri"":""SDG5"",""sentiment"":""neutral"",""tone"":""Commitment"",""confidence"":0.6},{""sentence"":""Governance"",""aspect"":""governance practices"",""aspect_category"":""G"",""ontology_uri"":""GRI102"",""sentiment"":""neutral"",""tone"":""Commitment"",""confidence"":0.7}]",sustainability-report-2023.pdf,4,sustainability-report-2023.pdf | Page 4,5
"[{""sentence"": ""63% of us are \""millennials\""."",""aspect"": ""diversity"", ""aspect_category"": ""S"", ""ontology_uri"": ""GRI204"", ""sentiment"": ""positive"", ""tone"": ""Action"", ""confidence"": 0.95},{""sentence"": ""37 years is our average age."",""aspect"": ""workforce demographics"", ""aspect_category"": ""S"", ""ontology_uri"": ""GRI204"", ""sentiment"": ""positive"", ""tone"": ""Action"", ""confidence"": 0.95},{""sentence"": ""40 Nationalities work here."",""aspect"": ""diversity"", ""aspect_category"": ""S"", ""ontology_uri"": ""GRI204"", ""sentiment"": ""positive"", ""tone"": ""Action"", ""confidence"": 0.95},{""sentence"": ""Social Inclusion, Diversity and Equity initiatives"",""aspect"": ""diversity"", ""aspect_category"": ""S"", ""ontology_uri"": ""GRI205"", ""sentiment"": ""positive"", ""tone"": ""Action"", ""confidence"": 0.85}]",sustainability-report-2023.pdf,5,sustainability-report-2023.pdf | Page 5,6
"[
  {
    ""sentence"": ""Together - We respect each other and draw strength from our differences."",
    ""aspect"": ""diversity"",
    ""aspect_category"": ""S"",
    ""ontology_uri"": ""GRI407"",
    ""sentiment"": ""positive"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.95
  },
  {
    ""sentence"": ""We respect labor rights and promote a responsible employment environment."",
    ""aspect"": ""labor rights"",
    ""aspect_category"": ""S"",
    ""ontology_uri"": ""GRI402"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.92
  },
  {
    ""sentence"": ""We combat corruption in all its forms and assess our bribery and corruption environment annually."",
    ""aspect"": ""anti-corruption"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI304"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.91
  },
  {
    ""sentence"": ""KPMG must dare to be proactive towards clients... promote sustainability in all our projects."",
    ""aspect"": ""sustainability promotion"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""SDG17"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.89
  },
  {
    ""sentence"": ""We need to set targets to improve our own environmental impact and carbon footprint."",
    ""aspect"": ""carbon footprint"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.88
  },
  {
    ""sentence"": ""We shall establish interdisciplinary teams to identify and implement optimal and sustainable solutions."",
    ""aspect"": ""interdisciplinary teams"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""SDG9"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.87
  },
  {
    ""sentence"": ""The Finance department is responsible for supply chain due diligence."",
    ""aspect"": ""supply chain due diligence"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI308"",
    ""sentiment"": ""neutral"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.85
  },
  {
    ""sentence"": ""The Quality Risk Management department manages ethics and compliance with local laws."",
    ""aspect"": ""ethics and compliance"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI301"",
    ""sentiment"": ""neutral"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.84
  }
]",sustainability-report-2023.pdf,6,sustainability-report-2023.pdf | Page 6,7
"[
  {
    ""sentence"": ""we're bound by strict environmental requirements"",
    ""aspect"": ""environmental requirements"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI302"",
    ""sentiment"": ""positive"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.85
  },
  {
    ""sentence"": ""we are in a transition period towards CSRD and currently finalizing our double materiality assessment"",
    ""aspect"": ""double materiality assessment"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI101"",
    ""sentiment"": ""neutral"",
    ""tone"": ""Action"",
    ""confidence"": 0.95
  },
  {
    ""sentence"": ""we will be updating our sustainability plan during FY2025"",
    ""aspect"": ""sustainability plan updates"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI303"",
    ""sentiment"": ""neutral"",
    ""tone"": ""Action"",
    ""confidence"": 0.88
  },
  {
    ""sentence"": ""KPMG has been a certified Eco Lighthouse since 2011"",
    ""aspect"": ""environmental certification"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI301"",
    ""sentiment"": ""positive"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.92
  },
  {
    ""sentence"": ""KPMG Norway is committed to developing its business in accordance with the Ten Principles for Corporate Sustainability"",
    ""aspect"": ""social responsibility guidelines"",
    ""aspect_category"": ""S"",
    ""ontology_uri"": ""SDG8"",
    ""sentiment"": ""positive"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.97
  },
  {
    ""sentence"": ""KPMG has been registered with EcoVadis since 2019"",
    ""aspect"": ""sustainability assessment participation"",
    ""aspect_category"": ""E-S-G"",
    ""ontology_uri"": ""GRI102"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.90
  },
  {
    ""sentence"": ""EcoVadis provides a comprehensive assessment of... across four key areas: environment, labor and human rights, ethics, and sustainable procurement"",
    ""aspect"": ""sustainability assessment scope"",
    ""aspect_category"": ""E-S-G"",
    ""ontology_uri"": ""GRI302-GRI403-GRI405-GRI308"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.88
  },
  {
    ""sentence"": ""We can identify areas where we can improve our sustainability practices"",
    ""aspect"": ""self-assessment outcomes"",
    ""aspect_category"": ""E-S-G"",
    ""ontology_uri"": ""GRI102"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.94
  },
  {
    ""sentence"": ""The decision to register... was made in response to... demand for transparency and accountability"",
    ""aspect"": ""client-driven transparency needs"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI101"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.89
  },
  {
    ""sentence"": ""we established an ESG steering committee in 2022... to ensure upskilling of employees"",
    ""aspect"": ""ESG organizational structure"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI103"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.93
  },
  {
    ""sentence"": ""we use the principles to guide our sustainability work and business conduct"",
    ""aspect"": ""social and governance alignment"",
    ""aspect_category"": ""S-G"",
    ""ontology_uri"": ""SDG8-GRI103"",
    ""sentiment"": ""positive"",
    ""tone"": ""Commitment"",
    ""confidence"": 0.91
  },
  {
    ""sentence"": ""KPMG Live... specifically addressed our efforts on Inclusion, Diversity and Equity (IDE)"",
    ""aspect"": ""employee inclusion initiatives"",
    ""aspect_category"": ""S"",
    ""ontology_uri"": ""SDG5-GRI408"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.95
  },
  {
    ""sentence"": ""we will continue to build knowledge... about sustainability across the organization"",
    ""aspect"": ""employee education on sustainability"",
    ""aspect_category"": ""E-S-G"",
    ""ontology_uri"": ""GRI102"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.87
  },
  {
    ""sentence"": ""climate action... being some key topics for FY2024"",
    ""aspect"": ""climate action focus"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""SDG13"",
    ""sentiment"": ""positive"",
    ""tone"": ""Action"",
    ""confidence"": 0.96
  },
  {
    ""sentence"": ""companies have completed... sustainability academy"",
    ""aspect"": ""employee sustainability training"",
    ""aspect_category"": ""G"",
    ""ontology_uri"": ""GRI308"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.92
  }
]",sustainability-report-2023.pdf,7,sustainability-report-2023.pdf | Page 7,8
"[
    {
        ""sentence"": ""KPMG has recently revised our materiality assessment which was previously only based on an impact perspective in line with the GRI standard. To lay the grounds for our coming CSRD reporting we have performed a double materiality assessment in accordance with the ESRS standards."",
        ""aspect"": ""double materiality assessment"",
        ""aspect_category"": ""G"",
        ""ontology_uri"": ""GRI303"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.85
    },
    {
        ""sentence"": ""Stakeholder dialogue is an essential part of the process and KPMG therefore involved both internal and external stakeholders in the process of identifying and assessing impacts, risks and opportunities."",
        ""aspect"": ""stakeholder engagement"",
        ""aspect_category"": ""S"",
        ""ontology_uri"": ""SDG10"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.85
    },
    {
        ""sentence"": ""Social Inclusion, Diversity and Equity initiatives"",
        ""aspect"": ""diversity"",
        ""aspect_category"": ""S"",
        ""ontology_uri"": ""SDG10"",
        ""sentiment"": ""positive"",
        ""tone"": ""Commitment"",
        ""confidence"": 0.95
    }
]",sustainability-report-2023.pdf,8,sustainability-report-2023.pdf | Page 8,9
"[
    {
        ""sentence"": ""KPMG Global has science-based targets and KPMG Norway has been committed to these goals and targets since 2019."",
        ""aspect"": ""environmental targets"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Commitment"",
        ""confidence"": 0.95
    },
    {
        ""sentence"": ""KPMG Norway acknowledges the need to develop its own targets and aims to get them approved by 2025."",
        ""aspect"": ""environmental targets"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""neutral"",
        ""tone"": ""Commitment"",
        ""confidence"": 0.85
    },
    {
        ""sentence"": ""KPMG Norway has a climate footprint through emissions in Scope 1, 2, and 3 where travel is a large source of emissions."",
        ""aspect"": ""emissions"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""neutral"",
        ""tone"": ""Action"",
        ""confidence"": 0.9
    },
    {
        ""sentence"": ""KPMG Norway also generates waste and emissions through the goods and services we buy."",
        ""aspect"": ""emissions"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""neutral"",
        ""tone"": ""Action"",
        ""confidence"": 0.85
    },
    {
        ""sentence"": ""The environmental chapter of this report covers our climate footprint and our journey towards getting further climate goals approved by the Science Based Targets Initiative."",
        ""aspect"": ""climate goals"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""SDG13"",
        ""sentiment"": ""positive"",
        ""tone"": ""Outcome"",
        ""confidence"": 0.92
    },
    {
        ""sentence"": ""We compensate for our emissions."",
        ""aspect"": ""emissions"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Outcome"",
        ""confidence"": 0.93
    },
    {
        ""sentence"": ""Our policy on environmental management ensures systematic efforts to reduce waste and energy use as part of the environmental management system."",
        ""aspect"": ""waste"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI308"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.91
    },
    {
        ""sentence"": ""Through the process of environmental certification, we identified environmental improvements relevant to us and developed procedures and processes to implement, achieve, and continuously review our environmental policies."",
        ""aspect"": ""environmental policies"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI302"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.89
    },
    {
        ""sentence"": ""Our travel policy aims to be a driver for green and environmentally friendly travel that has less negative impact on the environment."",
        ""aspect"": ""travel policy"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Commitment"",
        ""confidence"": 0.94
    },
    {
        ""sentence"": ""KPMG Norway's travel policy was updated in 2023 and ensures all business travel is done in a sustainable, efficient, and safe manner."",
        ""aspect"": ""travel policy"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.91
    },
    {
        ""sentence"": ""The policy encourages use of climate-friendly transportation options or use of digital meetings."",
        ""aspect"": ""travel"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""SDG11"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.87
    },
    {
        ""sentence"": ""The policy instructs that 50% of all board and national management meetings are to be held digitally in order to reduce emissions."",
        ""aspect"": ""digital meetings"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""SDG9"",
        ""sentiment"": ""positive"",
        ""tone"": ""Outcome"",
        ""confidence"": 0.88
    },
    {
        ""sentence"": ""A 50% reduction in emissions based on 2019 figures by 2030."",
        ""aspect"": ""emissions"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Outcome"",
        ""confidence"": 0.95
    },
    {
        ""sentence"": ""Individual accountability for climate - on average, a 10% reduction in personal consumption related to work-related travel by 2023 (based on 2019 levels)."",
        ""aspect"": ""travel"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Outcome"",
        ""confidence"": 0.9
    },
    {
        ""sentence"": ""Promoting public transportation, increasing the share of public transport."",
        ""aspect"": ""travel"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""GRI305"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.85
    },
    {
        ""sentence"": ""Having more digital meetings: By reducing employee travel, we will achieve the requirements in the sustainability plan for 2021-2025."",
        ""aspect"": ""digital meetings"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""SDG13"",
        ""sentiment"": ""positive"",
        ""tone"": ""Action"",
        ""confidence"": 0.89
    },
    {
        ""sentence"": ""Environmental chapter covers our climate footprint and journey towards climate goals."",
        ""aspect"": ""climate footprint"",
        ""aspect_category"": ""E"",
        ""ontology_uri"": ""SDG13"",
        ""sentiment"": ""positive"",
        ""tone"": ""Outcome"",
        ""confidence"": 0.92
    }
]",sustainability-report-2023.pdf,9,sustainability-report-2023.pdf | Page 9,10
"[{
    ""sentence"": ""In FY2023 we emitted a total of 1284 tons of CO2 equivalents across scopes 1, 2, and 3. This is an increase of approximately 23 percent compared to FY2022."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""negative"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.8
},
{
    ""sentence"": ""There is a slight increase in the use of natural gas for heating from 5.04 in FY2022 to 6.68 tons of CO2 equivalents in FY2023. Only the Haugesund office uses natural gas for heating."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""negative"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.85
},
{
    ""sentence"": ""In total, there was a significant decrease in scope 2 emissions from 112.5 tons of CO2 equivalents in FY2022 to 80.7 in FY2023. This number is based on using a location-based method for measuring electricity emissions."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.95
},
{
    ""sentence"": ""This is caused by both a decrease in reported electricity consumption in FY2023, and by using a lower emissions factor."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.95
},
{
    ""sentence"": ""this was done because the latter emission factor was deemed to be more representative for the Norwegian Power grid."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.95
},
{
    ""sentence"": ""In 2022 we used an emission factor ( 0.026 \u00a5kgCO2e / kWh ) from Cemasys to calculate the emissions from electricity consumption, but for FY2023 we used the emission factor ( 0.019 \u00a5kgCO2e / kWh ) for average emissions in the Norwegian power grid from NVE (The Norwegian Water Resource and Energy Directorate)."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.95
},
{
    ""sentence"": ""Emissions from district heating decreased from 24 to 15.6 tons of CO2 equivalents from FY2022 to FY2023. This is both due to lower use of district heating in addition to a change in emission factor from ( 0.014 \u00a5kgCO2e / kwh ) to ( 0.011 \u00a5kgCO2e / kwh )."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.95
},
{
    ""sentence"": ""There was a significant decrease in emissions from district cooling from 0.04 tons to 0.037 tons of CO2 equivalents in FY2023."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.9
},
{
    ""sentence"": ""In FY2023 we emitted a total of 1196 tons of CO2 equivalents across scopes 1, 2, and 3. This is an increase of approximately 30 percent compared to FY2022."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""negative"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.7
},
{
    ""sentence"": ""Of this, the most substantial increases have been generated from air travel and hotel stays."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""negative"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.8
},
{
    ""sentence"": ""With regards to air travel, there has been an increase from 841.7 tons of CO2 equivalents in FY2022 to 1079 tons in FY2023."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""negative"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.8
},
{
    ""sentence"": ""For hotel stays, the increase was from 8.55 tons of CO2 equivalents in FY2022 to 61.72 tons of CO2 equivalents in FY2023."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""negative"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.7
},
{
    ""sentence"": ""Moreover, there was a decrease in mileage from 55.25 tons of CO2 equivalents in FY2022 to 33.19 tons of CO2 equivalents in FY2023."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.85
},
{
    ""sentence"": ""For waste, there was a decrease in emissions from 18.16 tons of CO2 equivalents in FY2022 to 18.06 tons in FY2023."",
    ""aspect"": ""emissions"",
    ""aspect_category"": ""E"",
    ""ontology_uri"": ""GRI305"",
    ""sentiment"": ""positive"",
    ""tone"": ""Outcome"",
    ""confidence"": 0.7
}
]",sustainability-report-2023.pdf,10,sustainability-report-2023.pdf | Page 10,11
