record_id,company,prompt,model,language,tone_pred,sentiment,text_len_words,text,failure_modes
r014_003,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,en,missing,missing,33,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",missing_tone|schema_drift|passive_voice
r048_006,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,mixed,action,missing,24,"Berdasarkan manajemen karbon hingga 2050, terdapat 3 (tiga) pendekatan yang dilakukan PTBA, yaitu dekarbonisasi operasi, reklamasi, dan studi CCU (carbon capture, utilization, and utilization).",schema_drift|hedged_or_modal_language|passive_voice|bilingual_or_code_switched
r090_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r090_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,none,27,"The Company has also established numerous strategic partnerships which will support the business to expand services, enhance customer response times, and maximize its potential growth in Indonesia.",missing_tone|hedged_or_modal_language
r091_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r091_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,49,Based on Notarial Deed No. 122 dated 27 October 2020 ... the Company's shareholders has approved the following decisions: a. Approved the Company's plan to conduct an Initial Public Offering (IPO) ... b. Approved the change in status of the Company from a Private Company to a Public Company ...,missing_tone|schema_drift|hedged_or_modal_language
r092_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r092_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,18,The composition of the Company's Audit Committee as at 31 December 2022 and 2021 are as follows:,missing_tone
r093_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r094_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,id,missing,commitment,25,"Dengan adanya Sertifikat Energi Terbarukan yang diperoleh entitas anaknya dari PLN, Perseroan mampu mewujudkan komitmennya dalam mendukung tujuan keberlanjutan para pelanggan melalui penggunaan energi berkelanjutan.",missing_tone|schema_drift|regulatory_or_indonesian_domain_terms
r094_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,30,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",missing_tone|schema_drift
r095_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r095_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,27,"The Company has also established numerous strategic partnerships which will support the business to expand services, enhance customer response times, and maximize its potential growth in Indonesia.",missing_tone|hedged_or_modal_language
r095_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,30,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",missing_tone|schema_drift
r096_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r096_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,30,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",missing_tone|schema_drift
r096_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,27,"The Company has also established numerous strategic partnerships which will support the business to expand services, enhance customer response times, and maximize its potential growth in Indonesia.",missing_tone|hedged_or_modal_language
r097_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r098_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r098_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,27,"The Company has also established numerous strategic partnerships which will support the business to expand services, enhance customer response times, and maximize its potential growth in Indonesia.",missing_tone|hedged_or_modal_language
r098_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,36,"Management periodically evaluates its tax positions with respect to situations in which applicable tax regulation is subject to interpretation. Where appropriate, management establishes provisions based on the amounts expected to be paid to the tax authorities.",missing_tone|hedged_or_modal_language
r098_003,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,26,The Group has defined benefit and defined contribution plans and is required to provide minimum pension benefits as stipulated in the Omnibus Law and related regulations.,missing_tone|hedged_or_modal_language
