record_id,run_idx,record_idx,timestamp,model,prompt,target,company,ok,text,text_len_chars,text_len_words,language,aspect,esg,tone_pred,sentiment,sentiment_score,labels,reasoning,suggested_tone,suggestion_source,silver_tone_ground_truth,needs_human_review,schema_drift,has_climate_commitment,has_environmental_claims,has_climate_d,background_job_id,target_pages,climatebert_model,climatebert_model_path,climatebert_model_backend,climatebert_label,climatebert_score,climatebert_commitment_pred,climatebert_job_id,climatebert_elapsed_sec
r000_000,0,0,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,BEST-SR_2024_pdf/batch_8,BEST-SR_2024,True,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization.",390,52,en,environmental-claims,e,commitment,neutral,0.0,climate-detection|climate-d|climate-d-s|climate-specificity|environmental-claims,"The text describes BeFa's commitment to creating a green and eco-friendly industrial zone with specific actions like prioritizing renewable energy, implementing waste management systems, and ensuring efficient resource utilization. This is a future-oriented commitment rather than an achieved outcome.",commitment,lexical_or_climate_commitment,commitment,False,False,False,True,True,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.997707,False,climatebert_multi_20260526T095337Z_eaccca,4.146
r000_001,0,1,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,BEST-SR_2024_pdf/batch_8,BEST-SR_2024,True,"The Company is dedicated to continuous innovation and excellence within the realm of ESG, striving to create spaces that harmoniously blend industry with ecological sustainability. In its pursuit of this vision, BeFa is evolving into a Smart Eco-Industrial Park. This initiative focuses on promoting sustainable development through the incorporation of advanced technologies, smart infrastructure, and environmentally friendly practices that benefit both the community and the ecosystem. By fostering collaboration among tenants and other stakeholders, BeFa aims to set a precedent for responsible industrial growth while addressing global environmental challenges.",665,90,en,environmental-claims,e,commitment,neutral,0.0,climate-detection|climate-d|climate-d-s|climate-specificity|environmental-claims,"The text describes BeFa's commitment to ESG excellence and evolving into a Smart Eco-Industrial Park with specific initiatives like advanced technologies, smart infrastructure, and environmentally friendly practices. This is a future-oriented commitment rather than an achieved outcome.",commitment,lexical_or_climate_commitment,commitment,False,False,False,True,True,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,governance,0.921379,False,climatebert_multi_20260526T095337Z_eaccca,4.946
r000_002,0,2,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,BEST-SR_2024_pdf/batch_8,BEST-SR_2024,True,BeFa reaffirms its dedication to leadership excellence by promoting the professional development of its Board of Directors. Each board member is given the opportunity to participate in a specialized competency enhancement program designed to provide them with the latest industry knowledge and strategic insights.,313,44,en,governance,g,action,neutral,0.0,governance,The text describes BeFa's action to promote professional development of its Board of Directors through competency enhancement programs. This is an ongoing action rather than a measurable outcome.,none,fallback_none,action,False,False,False,False,False,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.995867,False,climatebert_multi_20260526T095337Z_eaccca,5.383
r006_000,6,0,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Sepanjang tahun 2024, VKTR mengukuhkan peran strategisnya dalam membentuk lanskap baru transportasi berkelanjutan di Indonesia. Tidak hanya sebagai perintis, VKTR kini hadir sebagai arsitek utama yang merancang dan mewujudkan solusi mobilitas hijau yang adaptif dan menyeluruh. Melalui pengembangan kendaraan listrik komersial lintas sektor, mulai dari truk dan bus, hingga solusi logistik dan angkutan perkotaan, VKTR memperkenalkan model mobilitas yang tidak hanya efisien, tetapi juga berorientasi pada masa depan rendah emisi.",530,70,id,climate-detection,e,commitment,neutral,0.0,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,"The text discusses VKTR's strategic role in shaping sustainable transportation in Indonesia, introducing green mobility solutions and low-emission future models. This is a forward-looking commitment to environmental sustainability.",commitment,lexical_or_climate_commitment,commitment,False,False,True,True,False,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.999069,False,climatebert_multi_20260526T095337Z_eaccca,7.325
r006_001,6,1,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Keberhasilan pembangunan fasilitas perakitan kendaraan listrik di Magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional. Dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri, VKTR memperluas cakupan dampak transformasi, dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial.",362,44,id,climate-detection,e,outcome,positive,1.0,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,"The text highlights the successful completion of VKTR's electric vehicle assembly facility in Magelang, reflecting real progress in national green industrialization. This is an outcome with positive sentiment due to its measurable impact.",outcome,lexical_outcome,outcome,False,False,False,True,True,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.999041,False,climatebert_multi_20260526T095337Z_eaccca,5.665
r006_002,6,2,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,Komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor-sektor strategis.,194,23,id,climate-detection,e,commitment,neutral,0.0,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,The text describes VKTR's commitment to developing prototypes and cross-industry collaborations to accelerate adoption and customization of vehicles. This is a future-oriented commitment with neutral sentiment.,commitment,lexical_or_climate_commitment,commitment,False,False,True,True,False,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.998926,False,climatebert_multi_20260526T095337Z_eaccca,2.295
r006_003,6,3,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"VKTR terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon. Perjalanan ini bukan sekadar menghadirkan produk, tetapi membentuk sistem, sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi, tanggung jawab lingkungan, dan tekad kolektif membangun Indonesia yang lebih hijau dan tangguh.",336,44,id,climate-detection,e,commitment,neutral,0.0,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,"The text emphasizes VKTR's ongoing role in the national effort toward a low-carbon transportation future, focusing on building a system and ecosystem with environmental responsibility. This is a commitment with neutral sentiment.",commitment,lexical_or_climate_commitment,commitment,False,False,True,True,False,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.998976,False,climatebert_multi_20260526T095337Z_eaccca,5.41
r006_004,6,4,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 10 Oktober 2023, Perusahaan dan MB menandatangani perjanjian kerja sama antara BA, Entitas Anak, dan MB, dimana Perusahaan akan menyediakan jasa perawatan, perbaikan dan penyediaan suku cadang untuk BYD yang dibutuhkan oleh Kendaraan Bus Listrik BYD K9 LF milik MB. Perusahaan menyatakan bersedia untuk bekerja sama dengan MB dalam hal perawatan, perbaikan, dan penyediaan suku cadang untuk Kendaraan Bus Listrik BYD K9 LF.",436,65,id,climate-detection,e,action,neutral,0.0,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,"The text describes a cooperation agreement between the Company and MB for the maintenance, repair, and provision of spare parts for BYD K9 LF Electric Bus. This is an action without a measurable result, hence neutral sentiment.",commitment,lexical_or_climate_commitment,action,False,False,False,True,True,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.999242,False,climatebert_multi_20260526T095337Z_eaccca,7.783
r006_005,6,5,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 27 September 2024, Perusahaan menandatangani Surat Perjanjian Kerahasiaan (NDA) dengan PT Agro Multi Persada. NDA tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh AMP untuk tujuan uji coba kendaraan listrik Perusahaan.",330,45,id,climate-detection,e,action,neutral,0.0,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,"The text mentions the signing of an NDA with PT Agro Multi Persada for the potential use of the Company's electric trucks and buses for testing. This is an action without a measurable result, hence neutral sentiment.",none,fallback_none,action,False,False,False,True,True,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.999259,False,climatebert_multi_20260526T095337Z_eaccca,7.159
r006_006,6,6,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 1 Juni 2024, Perusahaan menandatangani Memorandum of Understanding dengan WBKM. Perusahaan, sebagai perusahaan yang bergerak di bidang perdagangan dan manufaktur kendaraan listrik, dan WBKM, sebagai Perusahaan yang menyediakan angkutan umum, ingin mengeksplorasi dan mempertimbangkan peluang untuk melakukan kerjasama timbal balik yang lebih luas pada proyek di Indonesia.",385,49,id,climate-detection,e,commitment,neutral,0.0,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,The text describes the signing of a Memorandum of Understanding with WBKM to explore broader reciprocal cooperation on electric vehicle projects. This is a future-oriented commitment with neutral sentiment.,commitment,lexical_or_climate_commitment,commitment,False,False,True,True,False,,,GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Local model,none,0.999131,False,climatebert_multi_20260526T095337Z_eaccca,7.05
