record_id,run_idx,record_idx,timestamp,model,prompt,target,company,ok,text,text_len_chars,text_len_words,language,aspect,esg,tone_pred,sentiment,sentiment_score,labels,reasoning,suggested_tone,suggestion_source,silver_tone_ground_truth,needs_human_review,schema_drift,has_climate_commitment,has_environmental_claims,has_climate_d,background_job_id,target_pages,climatebert_model,climatebert_model_path,climatebert_model_backend,climatebert_label,climatebert_score,climatebert_commitment_pred,climatebert_job_id,climatebert_elapsed_sec
llm_3fef6746420d,53,2,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"Restrukturisasi dan transformasi adalah langkah strategis yang penting bagi Perusahaan dalam mencapai tujuan jangka panjang yang berkelanjutan. Dalam konteks Waskita Karya, upaya mewujudkan keberlanjutan tidak hanya bergantung pada inovasi and efisiensi operasional, namun juga pada upaya kolaborasi yang harmonis dengan para pemangku kepentingan, termasuk investor, pemegang saham, dan pihak perbankan yang memberikan dukungan pinjaman. Melalui restrukturisasi utang dan pinjaman yang berhasil disepakati bersama, Waskita Karya mampu memperkuat fondasi keuangan dan operasionalnya, sekaligus membuka peluang baru untuk menciptakan nilai tambah yang berkelanjutan.",664,81,,restructuring and stakeholder collaboration,s-g,action,positive,1.0,climate-d|strategy|risk|opportunity,"The text describes the successful restructuring and transformation that strengthened the company's financial and operational foundations through stakeholder collaboration, creating new sustainable value. This is a positive outcome from implemented actions, so sentiment is positive and tone is action.",action,llm_reprocess,action,True,False,True,False,True,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.997303,False,climatebert_multi_20260526T094450Z_df2db8,1.064
llm_6f77d6c9a458,53,3,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"Untuk dapat mewujudkan keberlanjutan, pada tahun 2023 Waskita mendorong solidaritas sebagai prinsip naluriah yang harus dimiliki, baik oleh Perusahaan maupun oleh seluruh Insan Waskita. Solidaritas menjadi kunci untuk dapat mengembangkan operasi dan bisnis yang sadar akan dampak yang muncul, termasuk dampak atas lingkungan dan sosial. Melalui solidaritas, Waskita berharap mampu mewujudkan komitmen yang kuat untuk dapat secara bertahap menerapkan keberlanjutan dalam operasi dan bisnisnya.",492,64,,solidarity and sustainability awareness,e-s,commitment,neutral,,climate-d|social,"The text emphasizes solidarity as a key principle for sustainability, highlighting awareness of environmental and social impacts. This is a commitment to future actions, so tone is commitment and sentiment is neutral.",commitment,llm_reprocess,commitment,True,False,True,False,True,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.99732,False,climatebert_multi_20260526T094450Z_df2db8,1.271
llm_a7168ce39669,53,4,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"Di tahun 2022 Waskita Karya telah berhasil melewati sejumlah tantangan dengan pencapaian yang positif sesuai dengan target jangka pendek dan jangka panjang, sekaligus telah menjalankan komitmennya untuk turut berperan dalam kemajuan pembangunan infrastruktur tanah air. Dalam rangka mendukung kelangsungan bisnisnya, Waskita telah menyusun 8 (delapan) stream penyebatan keuangan. Hal ini merupakan upaya Perusahaan agar dapat memenuhi pencapaian kinerja keberlanjutan, yang diimplementasikan antara lain melalui transformasi bisnis Perusahaan. Melalui penyebatan keuangan tersebut, Waskita berharap dapat melakukan optimasi serta meningkatkan efisiensi biaya, yang akhirnya membantu Waskita dalam meningkatkan daya saing and meraih keunggulan. Di samping itu, dengan pencapaian tersebut, Waskita dapat terus menjaga sinergi budaya and lingkungan.",846,105,,performance and sustainability transformation,e-s-g,outcome,positive,1.0,climate-d|strategy|risk|opportunity,"The text outlines the company's successful performance in 2022, including financial restructuring to support sustainable performance and business transformation, leading to improved competitiveness and environmental and cultural synergy. This is a positive outcome, so sentiment is positive and tone is outcome.",outcome,llm_reprocess,outcome,True,False,True,False,True,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.997373,False,climatebert_multi_20260526T094450Z_df2db8,1.429
llm_cff4de90c2cc,53,5,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"Selama tahun 2021, seiring transformasi bisnis yang dilakukan, Waskita Karya terus melanjutkan pencapaian kinerja keberlanjutan meliputi aspek ekonomi, lingkungan, serta sosial, sebagai wujud kontribusi kepada bangsa dan negara. Kinerja keberlanjutan Waskita tahun 2021 berfokus pada pemenuhan distribusi nilai ekonomi, pengurangan dampak buruk operasi terhadap lingkungan, serta pelaksanaan kegiatan pemberdayaan masyarakat melalui program Tanggung Jawab Sosial dan Lingkungan (TJSL). Atas pencapaian yang telah tercapai, pertumbuhan bisnis ke depan akan tercapai secara lebih kuat, menuju kontribusi maksimal dan berkelanjutan pada jangka panjang.",649,80,,sustainability performance,e-s,outcome,positive,1.0,climate-d|social,"The text details the company's sustainability performance in 2021, focusing on economic value distribution, environmental impact reduction, and community empowerment through CSR. This demonstrates positive outcomes and a commitment to long-term growth, so sentiment is positive and tone is outcome.",outcome,llm_reprocess,outcome,True,False,True,False,True,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.997608,False,climatebert_multi_20260526T094450Z_df2db8,1.2
llm_38c825c0ddfe,53,6,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"penurunan limbah konstruksi sebesar 150% dari total proyek berjalan;
- Pelaksanaan pengelolaan penerapan konstruksi berkelanjutan di seluruh proyek konstruksi PT Waskita Karya (Persero) Tbk;
- Pelaksanaan pengelolaan keselamatan dan kesehatan kerja dengan meminimalkan tingkat frekuensi dan keparahan kecelakaan kerja sesuai KPI yang ditetapkan Perusahaan;
- Mendorong peningkatan penggunaan produk material green construction;
- Melaksanakan pengelolaan pengendalian mutu konstruksi sesuai spesifi kasi dan meminimalkan risiko kegagalan konstruksi.
6. Anggota Bidang Sosial:
- Pelaksanaan pengelolaan jaminan program kesehatan kerja karyawan;
- Pelaksanaan komitmen untuk meningkatkan kesejahteraan karyawan melalui well being program;
- Pelaksanaan dan pengelolaan penerapan aturan Respectful Workplace Policy (RWP) di lingkungan Perusahaan;
- Merancang kompensasi dan benefit bagi seluruh karyawan;
- Meningkatkan rasio talenta perempuan;
- Pelaksanaan pengelolaan tanggung jawab sosial dan lingkungan;
- Pelaksanaan pengelolaan aktivitas Perusahaan secara komprehensif dengan mempertimbangkan hak dasar manusia yang berkualitas secara adil dan setara untuk peningkatan kesejahteraan seluruh masyarakat terutama masyarakat lokal;
- Pelaksanaan sosialisasi dan publikasi program-program ESG yang dilaksanakan Perusahaan kepada internal dan eksternal Perusahaan.
7. Anggota Bidang Tata Kelola:
- Pelaksanaan pengelolaan tata kelola perusahaan yang baik di lingkungan Perusahaan;
- Pelaksanaan pengelolaan kode etik dan integritas karyawan di lingkungan Perusahaan;
- Pelaksanaan dan pengelolaan penerapan Whistleblowing System (WBS) di lingkungan Perusahaan;
- Peningkatan kualitas laporan keberlanjutan;
- Pelaksanaan assessment dan monitor tindak lanjut hasil assessment;
- Penurunan ESG risk rating terhadap hasil analisis Sustainalytics;
- Pengelolaan praktik pengadaan barang dan jasa di lingkungan Perusahaan;",1916,235,,ESG targets and initiatives,e-s-g,action,neutral,,climate-d|metrics|social|governance,"The text lists specific ESG targets for 2025, including environmental sustainability in construction, social welfare programs, and governance improvements. These are forward-looking actions, so tone is action and sentiment is neutral.",action,llm_reprocess,action,True,False,True,False,True,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.99781,False,climatebert_multi_20260526T094450Z_df2db8,1.347
llm_9294c2777cef,53,7,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"Rapat Komite ESG [GRI 2-13] Per 31 Desember 2025, Komite ESG telah menyelenggarakan rapat sebanyak 3 kali, dengan agenda sebagai berikut: 1. Kick Off Meeting Penyusunan Kebijakan, Prosedur dan Roadmap ESG 2. Milestone penyusunan ESG Waskita 3. Pembahasan Aol atas audit ESG oleh BPKP",283,44,,ESG governance,g,action,neutral,,governance|strategy,"The text reports on the ESG Committee meetings held in 2025, discussing ESG policy development and audit follow-ups. This is a governance activity, so aspect is G, tone is action, sentiment neutral.",action,llm_reprocess,action,True,False,False,False,False,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998703,False,climatebert_multi_20260526T094450Z_df2db8,0.811
llm_5a1ca600588d,53,8,2026-05-17T06:39:12Z,arcee-ai/trinity-large-thinking:free,tone_chain_of_thought_indonesian.md,waskita_karya_SR2025_pdf/batch_44,waskita_karya_SR2025,True,"PENGEMBANGAN KOMPETENSI PENANGGUNG JAWAB KEBERLANJUTAN [OJK E.2] [GRI 2-17] Waskita Karya memberikan perhatian khusus terhadap pelaksanaan kinerja keberlanjutan, sebagai upaya menyeimbangkan aspek ekonomi, sosial, lingkungan, and tata kelola, yang pada akhirnya mendukung tercapainya pertumbuhan jangka panjang Perusahaan. Untuk mewujudkan hal itu, Waskita memastikan kemampuan organ Perusahaan dapat menghadapi dinamika bisnis dan mendukung keberlanjutan Perusahaan. Perusahaan mengikutsertakan penanggung jawab kinerja keberlanjutan, antara lain Dewan Komisaris, Direksi, dan divisi-divisi terkait dalam berbagai program pengembangan kompetensi seperti pelatihan, seminar, and workshop. Pada tahun 2025, Dewan Komisaris, Direksi, dan divisi-divisi yang menangani kinerja keberlanjutan telah menjalankan program pengembangan kompetensi terkait keberlanjutan sebagai berikut:",875,99,,sustainability competency development,e-s-g,action,neutral,,governance|strategy,"The text discusses the company's focus on sustainability performance and competency development for responsible parties, including training programs. This is an action taken to support long-term growth, so tone is action and sentiment is neutral.",action,llm_reprocess,action,True,False,False,False,False,llm_processing_bg_20260517T055040Z_a2f70f,"page_0086.md, page_0087.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.997204,False,climatebert_multi_20260526T094450Z_df2db8,1.355
llm_24cc9a4a58cc,54,0,2026-05-17T06:39:16Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_38,ABM_2025_ABMM_SR_2025,True,"12.167,93 TON CO₂EQ – Total emisi (Cakupan 1 & 2) pada tahun 2025 menunjukkan penurunan dibandingkan dengan tahun 2024, sejalan dengan implementasi program efisiensi energi dan optimalisasi operasional di anak usaha",215,31,,GHG emissions reduction,e,outcome,positive,1.0,metrics|climate-d,"The company reports a decrease in Scope 1 & 2 emissions, indicating a positive environmental outcome due to energy efficiency programs.",outcome,llm_reprocess,outcome,True,False,True,True,True,llm_processing_bg_20260517T055935Z_952657,"page_0074.md, page_0075.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998498,False,climatebert_multi_20260526T094450Z_df2db8,0.444
llm_62b6141274ee,54,1,2026-05-17T06:39:16Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_38,ABM_2025_ABMM_SR_2025,True,"39,9% – Konsumsi Energi berasal dari Sumber daya Energi Terbarukan",66,10,,renewable energy consumption,e,outcome,positive,1.0,metrics|climate-d,High percentage of renewable energy use demonstrates a commitment to sustainable energy sources.,outcome,llm_reprocess,outcome,True,False,True,True,True,llm_processing_bg_20260517T055935Z_952657,"page_0074.md, page_0075.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998199,False,climatebert_multi_20260526T094450Z_df2db8,0.316
llm_b555c493bad5,54,2,2026-05-17T06:39:16Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_38,ABM_2025_ABMM_SR_2025,True,ABM menyadari bahwa kegiatan pertambangan berpotensi menimbulkan perubahan tutupan lahan yang dapat berdampak pada keanekaragaman hayati.,137,16,,biodiversity impact risk,e,none,negative,-1.0,risk|climate-d,"The statement identifies mining activities as a potential risk to biodiversity, highlighting a negative environmental aspect.",none,llm_reprocess,none,True,False,True,True,True,llm_processing_bg_20260517T055935Z_952657,"page_0074.md, page_0075.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.994225,False,climatebert_multi_20260526T094450Z_df2db8,0.389
