,sentence,canonical_aspect,runs_count,runs,experiment_sets,raw_aspects,aspect_categories,majority_category,sentiments,tones,avg_confidence
4112,Our Supercharger network has been powered by 100% renewables for four years.,100% renewable powered supercharger network,1,absa_20260206_201357_2024-tesla-impact-report_pdf_absa_cot_Nemotron_3_Nano_30B_A3B_(Free).json,MultiPDF_ABSA_20260206_1934,100% renewable powered Supercharger network,E,E,positive,Action,0.94
4113,Our Supercharger network has been powered by 100% renewables for four years.,100% renewable supercharger network,1,absa_20260206_201702_2024-tesla-impact-report_pdf_absa_few_shot_Nemotron_3_Nano_30B_A3B_(Free).json,MultiPDF_ABSA_20260206_1934,100% renewable Supercharger network,E,E,positive,Outcome,0.9
2801,Kami memastikan bahwa semua pakan yang dikonsumsi hewan kami tidak mengandung Antibiotic Growth Promoter (AGP).,absence of antibiotic growth promoters in animal feed,1,absa_20260214_093742_Sustainability-Report-CPIN-2023_20260207_071713_20260207_071723_absa_indonesia_cot_Qwen3_Coder__Free_.json,MultiPDF_ABSA_20260214_0830,absence of antibiotic growth promoters in animal feed,S,S,positive,Action,0.9
1242,Di Tahun 2022 Perseroan tidak menerima sanksi berupa penghentian sementara perdagangan atau penghapusan pencatatan saham dari Bursa Efek Indonesia.,absence of share trading sanctions,1,absa_20260212_100937_Final-AR-ESSA-2022-LOWRES_20260207_065746_20260207_065750_absa_indonesia_few_shot_Nemotron_3_Nano_30B_A3B__Free_.json,MultiPDF_ABSA_20260212_0833,Absence of share trading sanctions,G,G,neutral,Outcome,0.93
6806,This represents a 46% reduction in absolute emissions compared with 2019.,absolute emissions reduction,2,"bulk_absa_20260110_023230_absa_zero_shot.json, bulk_absa_20260110_023441_absa_cot.json",c09205260-2_pdf — Prompt Comparison,"Reduction in absolute emissions, Reduction in emissions",E,E,positive,"Outcome, outcome",0.875
3170,"Kami turut mengakselerasi ekonomi rendah karbon di Indonesia melalui kajian terkait keberlanjutan yang dilaksanakan oleh Mandiri Institute, yang mendorong implementasi nilai-nilai keberlanjutan melalui policy advocacy dan policy research yang terkait dengan sektor keuangan, tren sektoral, dan standar regional serta global.",accelerating the low-carbon economy through sustainability studies,1,absa_20260115_122841_mandiri_Laporan_Keberlanjutan_2023_pdf_absa_cot_Gemini_2.0_Flash_Exp_(Free).json,MultiPDF_ABSA_20260115_1155,Accelerating the low-carbon economy through sustainability studies,E,E,positive,Action,0.9
4007,Now we are further accelerating our mission—and impact—through autonomy.,acceleration of mission through autonomous technologies,1,absa_20260206_201357_2024-tesla-impact-report_pdf_absa_cot_Nemotron_3_Nano_30B_A3B_(Free).json,MultiPDF_ABSA_20260206_1934,Acceleration of mission through autonomous technologies,E,E,positive,Action,0.88
7675,"We're creating a world where sustainable, safe and reliable transport and energy is available to all.",access to basic services,1,absa_20260206_200930_2024-tesla-impact-report_pdf_absa_zero_shot_DeepSeek_R1T2_Chimera_(Free).json,MultiPDF_ABSA_20260206_1934,Access to Basic Services,S,S,positive,Commitment,0.9
7029,"Total of 14 water towers provided 6 regions (Bali, Bekasi, Lombok, Medan, Surabaya and Tangerang) access to clean water.",access to clean water,1,absa_20260114_114052_Sustainability_Reports_MAP_2021_pdf_absa_zero_shot_Gemini_2.0_Flash_Exp_(Free).json,MultiPDF_ABSA_20260114_1136,Access to clean water,S,S,positive,Outcome,0.9
7031,"Total of 14 water towers provided 6 regions (Bali, Bekasi, Lombok, Medan, Surabaya and Tangerang) access to clean water. A water tower can deliver 850 liters of clean water per hour.",access to clean water,1,absa_20260114_113111_Sustainability_Reports_MAP_2021_pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json,MultiPDF_ABSA_20260114_1129,access to clean water,S,S,positive,Outcome,0.85
2289,Installation of the 14th water tower at the Al-Ijtihad Islamic Boarding School,access to clean water initiative,1,absa_20260114_120932_Sustainability_Reports_MAP_2021_pdf_absa_cot_Qwen3_Coder_(Free).json,MultiPDF_ABSA_20260114_1136,Access to Clean Water Initiative,S,S,POSITIVE,Action,0.9
6673,"The widespread deployment of telecommunications towers ensures fast and stable internet access, opening doors to the economic opportunities and improving overall quality of life.",access to essential services,1,absa_20260111_172412_gihon_json_Annual_and_Sustainability_Report_2024_pdf_absa_zero_shot.json,gihon_2024,Access to Essential Services,S,S,positive,Outcome,0.85
6674,"The widespread deployment of telecommunications towers ensures fast and stable internet access, opening doors to the economic opportunities and improving overall quality of life.",access to technology,1,absa_20260111_172451_gihon_json_Annual_and_Sustainability_Report_2024_pdf_absa_cot.json,gihon_2024,Access to Technology,S,S,Positive,Action,0.85
2821,Kami memelopori konsep live streaming event untuk mengurangi kesenjangan masyarakat dalam mengakses tayangan hiburan dan informasi.,accessibility,1,absa_20260113_004708_SCM_2020_scm-sr-2020-final-1_pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json,SCM_2020_multiple,Accessibility,S,S,positive,Action,0.9
3425,Layanan Perseroan dapat memberikan akses yang lebih luas ke pelosok Indonesia serta dapat diakses secara digital dan memberikan kemudahan bagi masyarakat Indonesia untuk mengakses tayangan-tayangan kami dari manapun mereka berada.,accessibility and digital services,1,absa_20260113_012144_SCM_2022_sr-scma-2022_pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json,SCM_2022_multiple,Accessibility and digital services,S,S,positive,Outcome,0.85
3918,"Meskipun demikian, manajemen Perseroan memberikan apresiasi atas pencapaian di tahun 2023, di mana hal tersebut menunjukkan kemampuan Perseroan dalam mengantisipasi dampak dari penerapan kebijakan ASO sekaligus membuktikan dominasi dari TV FTA yang dimiliki oleh Perseroan.",achievement appreciation,2,"absa_20260113_015123_SCM_2023_sr-scma_pdf_absa_cot_Nemotron_3_Nano_30B_A3B_(Free).json, absa_20260113_015227_SCM_2023_sr-scma_pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json",SCM_2023_multiple,achievement appreciation,E,E,positive,Outcome,0.8
4570,"Pada tahun 2030, mencapai pekerjaan tetap dan produktif dan pekerjaan yang layak bagi semua perempuan dan laki-laki, termasuk bagi pemuda dan penyandang difabilitas, dan upah yang sama untuk pekerjaan yang sama nilainya.",achieving full and productive employment,1,absa_20260113_101350_bumi_resources_Sustainability_Report_2020_pdf_absa_zero_shot_Gemini_2.0_Flash_Exp_(Free).json,bumi_resources_Sustainability_Report_2020,achieving full and productive employment,S,S,positive,Commitment,0.8
3785,"Mencapai tingkat produktivitas ekonomi yang lebih tinggi, melalui diversifikasi, peningkatan dan inovasi teknologi, termasuk melalui fokus pada sektor yang memberi nilai tambah tinggi dan padat karya.",achieving higher economic productivity,1,absa_20260113_101350_bumi_resources_Sustainability_Report_2020_pdf_absa_zero_shot_Gemini_2.0_Flash_Exp_(Free).json,bumi_resources_Sustainability_Report_2020,achieving higher economic productivity,E,E,positive,Commitment,0.8
5968,Signing of Agreement on the Acquisition of CG Computers Sdn BHD Shares by PT Erafone Artha Retailindo,acquisition,3,"absa_20260113_140932_erajaya_annual_Report_2014__ENG__pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json, absa_20260113_141250_erajaya_annual_Report_2014__ENG__pdf_absa_cot_Mistral_Devstral_25.12_(Free).json, absa_20260113_141935_erajaya_annual_Report_2014__ENG__pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json",erajaya_annual_Report_2014,"Acquisition, acquisition",E,E,"Positive, positive","Action, Outcome",0.775
269,Acquisition of PT Axioo International Indonesia (AXIOO).,acquisition,2,"absa_20260113_143316_erajaya_annual_Report_2015__ENG__pdf_absa_cot_Mistral_Devstral_25.12_(Free).json, absa_20260113_143654_erajaya_annual_Report_2015__ENG__pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json",erajaya_annual_Report_2015,"Acquisition, acquisition",E,E,"Positive, positive","Action, Initiative",0.85
2062,"In August 2012, Erajaya Group through one of its subsidiaries, namely PT Data Citra Mandiri (""DCM"") acquired the rights of iBox brand and its retail business.",acquisition,2,"absa_20260113_142454_erajaya_annual_Report_2015__ENG__pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json, absa_20260113_143316_erajaya_annual_Report_2015__ENG__pdf_absa_cot_Mistral_Devstral_25.12_(Free).json",erajaya_annual_Report_2015,Acquisition,E,E,"Positive, positive",Action,0.7
2065,"In August 2012, Erajaya Group through one of its subsidiaries, namely PT Data Citra Mandiri (DCM) acquired the rights of iBox brand and its retail business.",acquisition,1,absa_20260113_143654_erajaya_annual_Report_2015__ENG__pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json,erajaya_annual_Report_2015,acquisition,E,E,positive,Initiative,0.85
2066,"In August 2012, Erajaya Group through one of its subsidiaries, namely PT Data Citra Mandiri (DCM) acquired the rights of iBox brand and retail business.",acquisition,1,absa_20260113_140932_erajaya_annual_Report_2014__ENG__pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json,erajaya_annual_Report_2014,Acquisition,E,E,neutral,Action,0.7
7048,"Tracing back in 2011, Erajaya Group acquired PT Tele-tama Artha Mandiri (TAM).",acquisition,1,absa_20260113_140932_erajaya_annual_Report_2014__ENG__pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json,erajaya_annual_Report_2014,Acquisition,E,E,neutral,Action,0.7
2965,"Kami menyadari, perubahan akan selalu terjadi dengan cepat dan kami harus mampu beradaptasi dengan tepat.",adaptability,1,absa_20260113_011426_SCM_2021_sustainability-report-scma-2021_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,SCM_2021_multiple,Adaptability,G,G,positive,Commitment,
4916,Perseroan berhasil beradaptasi dan memaksimalkan peluang dengan berbagai adaptasi perubahan.,adaptability,1,absa_20260113_011426_SCM_2021_sustainability-report-scma-2021_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,SCM_2021_multiple,Adaptability,G,G,positive,Action,
5293,Perseroan terus berupaya menjawab dinamika pasar dengan tetap proaktif mengambil langkah-langkah yang dibutuhkan.,adaptability,1,absa_20260111_185009_Sustainability-Report-Impack-2023-MedRes_pdf_absa_cot.json,medres_2023,Adaptability,G,G,Positive,Action,0.8
2760,Kami mampu beradaptasi dan tetap berkomitmen untuk menyediakan protein bergizi yang terjangkau bagi masyarakat luas.,adaptasi dan komitmen,1,absa_20260113_033533_japfa_report_4_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,japfa_report_4,Adaptasi dan Komitmen,S,S,positive,Commitment,
980,"Dalam menerapkan strategi baru untuk menghadapi tantangan pandemi sepanjang 2020, kami mengatur proses produksi konten, termasuk pembuatan sinetron, film layar lebar, serta berbagai jenis pertunjukan hiburan lain.",adaptasi produksi konten selama pandemi,1,absa_20260113_005308_SCM_2020_scm-sr-2020-final-1_pdf_absa_zero_shot_Qwen3_Coder_(Free).json,SCM_2020_multiple,Adaptasi produksi konten selama pandemi,E,E,positive,Action,0.85
2578,"Kami beradaptasi dengan pesatnya perkembangan teknologi informasi dan komunikasi, guna memberikan pelayanan terbaik bagi pemirsa, sebagai salah satu pemangku kepentingan utama kami.",adaptasi teknologi,1,absa_20260207_092757_scm_2021_absa_indonesia_few_shot_LLaMA_3_3_70B_Instruct__Free_.json,MultiPDF_ABSA_20260207_0808,Adaptasi Teknologi,G,G,positive,Commitment,0.8
