:ID,:LABEL,name,text,timestamp,target,mapped_to_ontology,records
record:r000_000,ESGRecord,r000_000,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization.",2026-04-08T02:40:23.506816Z,BEST-SR_2024_pdf/batch_8,,
company:best_sr_2024,Company,BEST-SR_2024,,,,,
model:arcee_ai_trinity_large_preview_free,Model,arcee-ai/trinity-large-preview:free,,,,,
prompt:tone_zero_shot_english_md,Prompt,tone_zero_shot_english.md,,,,,
aspect:environmental_claims,Aspect,environmental-claims,,,,,
esgpillar:e,ESGPillar,e,,,,,
tone:commitment,Tone,commitment,,,,,
sentiment:neutral,Sentiment,neutral,,,,,
climatelabel:climate_detection,ClimateLabel,climate-detection,,,,,
climatelabel:climate_d,ClimateLabel,climate-d,,,,,
climatelabel:climate_d_s,ClimateLabel,climate-d-s,,,,,
climatelabel:climate_specificity,ClimateLabel,climate-specificity,,,,,
climatelabel:environmental_claims,ClimateLabel,environmental-claims,,,,,
record:r000_001,ESGRecord,r000_001,"The Company is dedicated to continuous innovation and excellence within the realm of ESG, striving to create spaces that harmoniously blend industry with ecological sustainability. In its pursuit of this vision, BeFa is evolving into a Smart Eco-Industrial Park. This initiative focuses on promoting sustainable development through the incorporation of advanced technologies, smart infrastructure, and environmentally friendly practices that benefit both the community and the ecosystem. By fostering collaboration among tenants and other stakeholders, BeFa aims to set a precedent for responsible industrial growth while addressing global environmental challenges.",2026-04-08T02:40:23.506816Z,BEST-SR_2024_pdf/batch_8,,
record:r000_002,ESGRecord,r000_002,BeFa reaffirms its dedication to leadership excellence by promoting the professional development of its Board of Directors. Each board member is given the opportunity to participate in a specialized competency enhancement program designed to provide them with the latest industry knowledge and strategic insights.,2026-04-08T02:40:23.506816Z,BEST-SR_2024_pdf/batch_8,,
aspect:governance,Aspect,governance,,,,,
esgpillar:g,ESGPillar,g,,,,,
tone:action,Tone,action,,,,,
climatelabel:governance,ClimateLabel,governance,,,,,
record:r006_000,ESGRecord,r006_000,"Sepanjang tahun 2024, VKTR mengukuhkan peran strategisnya dalam membentuk lanskap baru transportasi berkelanjutan di Indonesia. Tidak hanya sebagai perintis, VKTR kini hadir sebagai arsitek utama yang merancang dan mewujudkan solusi mobilitas hijau yang adaptif dan menyeluruh. Melalui pengembangan kendaraan listrik komersial lintas sektor, mulai dari truk dan bus, hingga solusi logistik dan angkutan perkotaan, VKTR memperkenalkan model mobilitas yang tidak hanya efisien, tetapi juga berorientasi pada masa depan rendah emisi.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
company:vktr_ar_sr_2024,Company,vktr_ar_sr_2024,,,,,
