record_key,run_idx,record_idx,timestamp,model,target,document,prompt,statement,statement_len,aspect,labels,esg,tone,sentiment,reasoning,best_status,best_score,best_token_coverage,best_sequence_ratio,best_matched_terms,best_snippet,best_page,best_page_number,best_page_path
flat:0,0,0,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_8,BEST-SR_2024_pdf,tone_zero_shot_english.md,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization.",390,environmental-claims,"['climate-detection', 'climate-d', 'climate-d-s', 'climate-specificity', 'environmental-claims']",E,commitment,neutral,"The text describes BeFa's commitment to creating a green and eco-friendly industrial zone with specific actions like prioritizing renewable energy, implementing waste management systems, and ensuring efficient resource utilization. This is a future-oriented commitment rather than an achieved outcome.",exact,1.0,1.0,0.4848,"aims, befa, creating, developers, economic, efficient, energy, ensuring, environmental, estate, forefront, friendly, green, impact, implementing, includes, indonesia, industrial, initiative, management, minimize, model, pioneer, prioritizing, promoting, renewable, resource, sources, sustainable, systems, transformative, utilization, waste, while, zone",rial park inisiatif ini berfokus pada promosi pembangunan berkelanjutan melalui penggabungan teknologi canggih infrastruktur cerdas dan praktik ramah lingkungan yang bermanfaat bagi masyarakat dan ekosistem dengan membina kolaborasi di antara para tenant dan pemangku kepentingan lainnya befa bertujuan untuk menjadi preseden bagi pertumbuhan industri yang bertanggung jawab sambil mengatasi tantangan lingkungan global as a pioneer among industrial estate developers in indonesia befa is at the forefront of creating a green and eco friendly industrial zone this transformative initiative aims to minimize environmental impact while promoting a sustainable economic model it includes prioritizing renewable energy sources implementing waste management systems and ensuring efficient resource utilization the company is dedicated to continuous innovation and excellence within the realm of esg striving to create spaces that harmoniously blend industry with ecological sustainability in its pursuit of this vision befa is evolving into a smart eco industrial park this initiative focuses on promoting sustainable development through the incorporation of advanced technologies smart infrastructure and environmentally friendl,page_0002.md,2,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/BEST-SR_2024_pdf/pages/page_0002.md
flat:1,0,1,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_8,BEST-SR_2024_pdf,tone_zero_shot_english.md,"The Company is dedicated to continuous innovation and excellence within the realm of ESG, striving to create spaces that harmoniously blend industry with ecological sustainability. In its pursuit of this vision, BeFa is evolving into a Smart Eco-Industrial Park. This initiative focuses on promoting sustainable development through the incorporation of advanced technologies, smart infrastructure, and environmentally friendly practices that benefit both the community and the ecosystem. By fostering collaboration among tenants and other stakeholders, BeFa aims to set a precedent for responsible industrial growth while addressing global environmental challenges.",665,environmental-claims,"['climate-detection', 'climate-d', 'climate-d-s', 'climate-specificity', 'environmental-claims']",E,commitment,neutral,"The text describes BeFa's commitment to ESG excellence and evolving into a Smart Eco-Industrial Park with specific initiatives like advanced technologies, smart infrastructure, and environmentally friendly practices. This is a future-oriented commitment rather than an achieved outcome.",exact,1.0,1.0,0.7299,"addressing, advanced, aims, befa, benefit, blend, both, challenges, collaboration, community, continuous, create, dedicated, development, ecological, ecosystem, environmental, environmentally, evolving, excellence, focuses, fostering, friendly, global, growth, harmoniously, incorporation, industrial, industry, infrastructure, initiative, innovation, other, park, practices, precedent, promoting, pursuit, realm, responsible",gatasi tantangan lingkungan global as a pioneer among industrial estate developers in indonesia befa is at the forefront of creating a green and eco friendly industrial zone this transformative initiative aims to minimize environmental impact while promoting a sustainable economic model it includes prioritizing renewable energy sources implementing waste management systems and ensuring efficient resource utilization the company is dedicated to continuous innovation and excellence within the realm of esg striving to create spaces that harmoniously blend industry with ecological sustainability in its pursuit of this vision befa is evolving into a smart eco industrial park this initiative focuses on promoting sustainable development through the incorporation of advanced technologies smart infrastructure and environmentally friendly practices that benefit both the community and the ecosystem by fostering collaboration among tenants and other stakeholders befa aims to set a precedent for responsible industrial growth while addressing global environmental challenges pt bekasi fajar industrial estate tbk,page_0002.md,2,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/BEST-SR_2024_pdf/pages/page_0002.md
flat:2,0,2,2026-04-08T02:40:23.506816Z,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_8,BEST-SR_2024_pdf,tone_zero_shot_english.md,BeFa reaffirms its dedication to leadership excellence by promoting the professional development of its Board of Directors. Each board member is given the opportunity to participate in a specialized competency enhancement program designed to provide them with the latest industry knowledge and strategic insights.,313,governance,['governance'],G,action,neutral,The text describes BeFa's action to promote professional development of its Board of Directors through competency enhancement programs. This is an ongoing action rather than a measurable outcome.,exact,1.0,1.0,0.4254,"befa, board, competency, dedication, designed, development, directors, each, enhancement, excellence, given, industry, insights, knowledge, latest, leadership, member, opportunity, participate, professional, program, promoting, provide, reaffirms, specialized, strategic, them",ulan kepemimpinan dengan mendukung pengembangan profesional direksi setiap anggota direksi difasilitasi untuk mengikuti program peningkatan kompetensi khusus yang membekalinya dengan pengetahuan industri terkini dan wawasan strategis sepanjang tahun 2024 para anggota direksi mengikuti sejumlah program pengembangan kompetensi dengan rincian sebagai berikut competency development of the board of directors f22 gri 2 17 befa reaffirms its dedication to leadership excellence by promoting the professional development of its board of directors each board member is given the opportunity to participate in a specialized competency enhancement program designed to provide them with the latest industry knowledge and strategic insights throughout 2024 members of the board of directors attended the competency development programs with the following details program pendidikan pelatihan training program waktu penyelenggara education training program time organizer driving economic value across your trade ecosystem 25 april 2024 cfo club driving economic value across your trade ecosystem april 25 2024 cfo club resilient business forward paving the way,page_0026.md,26,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/BEST-SR_2024_pdf/pages/page_0026.md
flat:3,6,0,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,"Sepanjang tahun 2024, VKTR mengukuhkan peran strategisnya dalam membentuk lanskap baru transportasi berkelanjutan di Indonesia. Tidak hanya sebagai perintis, VKTR kini hadir sebagai arsitek utama yang merancang dan mewujudkan solusi mobilitas hijau yang adaptif dan menyeluruh. Melalui pengembangan kendaraan listrik komersial lintas sektor, mulai dari truk dan bus, hingga solusi logistik dan angkutan perkotaan, VKTR memperkenalkan model mobilitas yang tidak hanya efisien, tetapi juga berorientasi pada masa depan rendah emisi.",530,climate-detection,"['climate-commitment', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-f', 'strategy', 'environmental-claims']",E,commitment,neutral,"The text discusses VKTR's strategic role in shaping sustainable transportation in Indonesia, introducing green mobility solutions and low-emission future models. This is a forward-looking commitment to environmental sustainability.",exact,1.0,1.0,0.6749,"2024, adaptif, angkutan, arsitek, baru, berkelanjutan, berorientasi, dari, depan, efisien, emisi, hadir, hanya, hijau, hingga, indonesia, juga, kendaraan, kini, komersial, lanskap, lintas, listrik, logistik, masa, melalui, membentuk, memperkenalkan, mengukuhkan, menyeluruh, merancang, mewujudkan, mobilitas, model, mulai, pada, pengembangan, peran, perintis, perkotaan",from pioneer to pillar vktr and the new path of indonesia s sustainable transport sepanjang tahun 2024 vktr mengukuhkan peran strategisnya dalam membentuk lanskap baru transportasi berkelanjutan di indonesia tidak hanya sebagai perintis vktr kini hadir sebagai arsitek utama yang merancang dan mewujudkan solusi mobilitas hijau yang adaptif dan menyeluruh melalui pengembangan kendaraan listrik komersial lintas sektor mulai dari truk dan bus hingga solusi logistik dan angkutan perkotaan vktr memperkenalkan model mobilitas yang tidak hanya efisien tetapi juga berorientasi pada masa depan rendah emisi keberhasilan pembangunan fasilitas perakitan kendaraan listrik di magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri vktr memperluas cakupan dampak transformasi dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial komitmen ini diperkuat melalui pengembangan beragam prototip,page_0002.md,2,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0002.md
flat:4,6,1,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,"Keberhasilan pembangunan fasilitas perakitan kendaraan listrik di Magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional. Dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri, VKTR memperluas cakupan dampak transformasi, dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial.",362,climate-detection,"['climate-d', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-tcfd', 'strategy', 'environmental-claims']",E,outcome,positive,"The text highlights the successful completion of VKTR's electric vehicle assembly facility in Magelang, reflecting real progress in national green industrialization. This is an outcome with positive sentiment due to its measurable impact.",exact,1.0,1.0,0.3638,"aspek, cakupan, dampak, dari, ekonomi, fasilitas, hijau, hingga, industrialisasi, keberhasilan, kendaraan, langkah, listrik, lokal, magelang, memperluas, mencerminkan, mengedepankan, menjadi, nasional, negeri, nilai, nyata, pasok, pembangunan, pemberdayaan, penciptaan, penting, perakitan, rantai, sosial, standar, teknologi, tingkat, tonggak, transformasi, vktr",kelanjutan di indonesia tidak hanya sebagai perintis vktr kini hadir sebagai arsitek utama yang merancang dan mewujudkan solusi mobilitas hijau yang adaptif dan menyeluruh melalui pengembangan kendaraan listrik komersial lintas sektor mulai dari truk dan bus hingga solusi logistik dan angkutan perkotaan vktr memperkenalkan model mobilitas yang tidak hanya efisien tetapi juga berorientasi pada masa depan rendah emisi keberhasilan pembangunan fasilitas perakitan kendaraan listrik di magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri vktr memperluas cakupan dampak transformasi dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor sektor strategis vktr terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon perjalanan ini bukan sekadar menghadirkan produk tetapi membentuk sistem sebuah ekosistem yang menjawab kebutuhan zaman denga,page_0002.md,2,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0002.md
flat:5,6,2,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,Komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor-sektor strategis.,194,climate-detection,"['climate-commitment', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-f', 'strategy', 'environmental-claims']",E,commitment,neutral,The text describes VKTR's commitment to developing prototypes and cross-industry collaborations to accelerate adoption and customization of vehicles. This is a future-oriented commitment with neutral sentiment.,exact,1.0,1.0,0.0179,"adopsi, beragam, diperkuat, industri, kebutuhan, kecepatan, kendaraan, kolaborasi, komitmen, kustomisasi, lintas, melalui, mendukung, pengembangan, prototipe, sektor, serta, sesuai, strategis",fisien tetapi juga berorientasi pada masa depan rendah emisi keberhasilan pembangunan fasilitas perakitan kendaraan listrik di magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri vktr memperluas cakupan dampak transformasi dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor sektor strategis vktr terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon perjalanan ini bukan sekadar menghadirkan produk tetapi membentuk sistem sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi tanggung jawab lingkungan dan tekad kolektif membangun indonesia yang lebih hijau dan tangguh throughout 2024 vktr reinforced its strategic role in shaping a new landscape for sustai,page_0002.md,2,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0002.md
flat:6,6,3,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,"VKTR terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon. Perjalanan ini bukan sekadar menghadirkan produk, tetapi membentuk sistem, sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi, tanggung jawab lingkungan, dan tekad kolektif membangun Indonesia yang lebih hijau dan tangguh.",336,climate-detection,"['climate-commitment', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-f', 'strategy', 'environmental-claims']",E,commitment,neutral,"The text emphasizes VKTR's ongoing role in the national effort toward a low-carbon transportation future, focusing on building a system and ecosystem with environmental responsibility. This is a commitment with neutral sentiment.",exact,1.0,1.0,0.44,"bagian, bukan, dari, depan, ekosistem, hijau, indonesia, jawab, karbon, kebutuhan, kolektif, lebih, lingkungan, masa, membangun, membentuk, menghadirkan, menjadi, menjawab, menuju, nasional, penting, perjalanan, produk, rendah, sebuah, sekadar, sistem, solusi, tangguh, tanggung, tekad, teknologi, terus, tetapi, transportasi, vktr, zaman",dustrialisasi hijau di tingkat nasional dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri vktr memperluas cakupan dampak transformasi dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor sektor strategis vktr terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon perjalanan ini bukan sekadar menghadirkan produk tetapi membentuk sistem sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi tanggung jawab lingkungan dan tekad kolektif membangun indonesia yang lebih hijau dan tangguh throughout 2024 vktr reinforced its strategic role in shaping a new landscape for sustainable transportation in indonesia no longer merely a pioneer vktr has emerged as a principal architect designing and implementing adaptive and comprehensive green transport solutions through the development of commercial electric vehicles across various sectors from trucks and buses to logistics and urban transport solutions vktr,page_0002.md,2,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0002.md
flat:7,6,4,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,"Pada tanggal 10 Oktober 2023, Perusahaan dan MB menandatangani perjanjian kerja sama antara BA, Entitas Anak, dan MB, dimana Perusahaan akan menyediakan jasa perawatan, perbaikan dan penyediaan suku cadang untuk BYD yang dibutuhkan oleh Kendaraan Bus Listrik BYD K9 LF milik MB. Perusahaan menyatakan bersedia untuk bekerja sama dengan MB dalam hal perawatan, perbaikan, dan penyediaan suku cadang untuk Kendaraan Bus Listrik BYD K9 LF.",436,climate-detection,"['climate-d', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-tcfd', 'strategy', 'environmental-claims']",E,action,neutral,"The text describes a cooperation agreement between the Company and MB for the maintenance, repair, and provision of spare parts for BYD K9 LF Electric Bus. This is an action without a measurable result, hence neutral sentiment.",exact,1.0,1.0,0.5088,"2023, akan, anak, antara, bekerja, bersedia, cadang, dibutuhkan, dimana, entitas, jasa, kendaraan, kerja, listrik, menandatangani, menyatakan, menyediakan, milik, oktober, oleh, pada, penyediaan, perawatan, perbaikan, perjanjian, perusahaan, sama, suku, tanggal",pt vktr teknologi mobilitas tbk dan entitas anak catatan atas laporan keuangan konsolidasian 31 desember 2024 dan 2023 serta untuk tahun yang berakhir pada tanggal tanggal tersebut angka dalam tabel disajikan dalam jutaan rupiah kecuali dinyatakan lain 39 perjanjian dan ikatan yang signifikan lanjutan g pt mayasari bakti mb pada tanggal 10 oktober 2023 perusahaan dan mb menandatangani perjanjian kerja sama antara ba entitas anak dan mb dimana perusahaan akan menyediakan jasa perawatan perbaikan dan penyediaan suku cadang untuk byd yang dibutuhkan oleh kendaraan bus listrik byd k9 lf milik mb perusahaan menyatakan bersedia untuk bekerja sama dengan mb dalam hal perawatan perbaikan dan penyediaan suku cadang untuk kendaraan bus listrik byd k9 lf h pt agro multi persada amp pada tanggal 27 september 2024 perusahaan menandatangani surat perjanjian kerahasiaan nda dengan pt agro multi persada nda tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh amp untuk tujuan uji coba kendaraan listrik perusahaan i pt wahana bina karya mandiri wbkm pada tanggal 1 juni 2024 peru,page_0538.md,538,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0538.md
flat:8,6,5,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,"Pada tanggal 27 September 2024, Perusahaan menandatangani Surat Perjanjian Kerahasiaan (NDA) dengan PT Agro Multi Persada. NDA tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh AMP untuk tujuan uji coba kendaraan listrik Perusahaan.",330,climate-detection,"['climate-d', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-tcfd', 'strategy', 'environmental-claims']",E,action,neutral,"The text mentions the signing of an NDA with PT Agro Multi Persada for the potential use of the Company's electric trucks and buses for testing. This is an action without a measurable result, hence neutral sentiment.",exact,1.0,1.0,0.4362,"2024, adanya, agro, bahwa, berisi, coba, kedua, kemungkinan, kendaraan, kerahasiaan, kerja, listrik, menandatangani, milik, multi, oleh, pada, penggunaan, perjanjian, persada, perusahaan, sama, sehubungan, sepakat, september, surat, tanggal, tersebut, truk, tujuan",aan dan mb menandatangani perjanjian kerja sama antara ba entitas anak dan mb dimana perusahaan akan menyediakan jasa perawatan perbaikan dan penyediaan suku cadang untuk byd yang dibutuhkan oleh kendaraan bus listrik byd k9 lf milik mb perusahaan menyatakan bersedia untuk bekerja sama dengan mb dalam hal perawatan perbaikan dan penyediaan suku cadang untuk kendaraan bus listrik byd k9 lf h pt agro multi persada amp pada tanggal 27 september 2024 perusahaan menandatangani surat perjanjian kerahasiaan nda dengan pt agro multi persada nda tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh amp untuk tujuan uji coba kendaraan listrik perusahaan i pt wahana bina karya mandiri wbkm pada tanggal 1 juni 2024 perusahaan menandatangani memorandum of understanding dengan wbkm perusahaan sebagai perusahaan yang bergerak di bidang perdagangan dan manufaktur kendaraan listrik dan wbkm sebagai perusahaan yang menyediakan angkutan umum ingin mengeksplorasi dan mempertimbangkan peluang untuk melakukan kerjasama timbal balik yang lebih luas pada proyek di indonesia pada,page_0538.md,538,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0538.md
flat:9,6,6,2026-04-08T02:41:29.425964Z,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024_pdf,tone_chain_of_thought_english.md,"Pada tanggal 1 Juni 2024, Perusahaan menandatangani Memorandum of Understanding dengan WBKM. Perusahaan, sebagai perusahaan yang bergerak di bidang perdagangan dan manufaktur kendaraan listrik, dan WBKM, sebagai Perusahaan yang menyediakan angkutan umum, ingin mengeksplorasi dan mempertimbangkan peluang untuk melakukan kerjasama timbal balik yang lebih luas pada proyek di Indonesia.",385,climate-detection,"['climate-commitment', 'climate-specificity', 'climate-sentiment', 'climate-s', 'climate-f', 'strategy', 'environmental-claims']",E,commitment,neutral,The text describes the signing of a Memorandum of Understanding with WBKM to explore broader reciprocal cooperation on electric vehicle projects. This is a future-oriented commitment with neutral sentiment.,exact,1.0,1.0,0.455,"2024, angkutan, balik, bergerak, bidang, indonesia, ingin, juni, kendaraan, kerjasama, lebih, listrik, luas, manufaktur, melakukan, memorandum, mempertimbangkan, menandatangani, mengeksplorasi, menyediakan, pada, peluang, perdagangan, perusahaan, proyek, sebagai, tanggal, timbal, umum, understanding, wbkm",ndaraan bus listrik byd k9 lf h pt agro multi persada amp pada tanggal 27 september 2024 perusahaan menandatangani surat perjanjian kerahasiaan nda dengan pt agro multi persada nda tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh amp untuk tujuan uji coba kendaraan listrik perusahaan i pt wahana bina karya mandiri wbkm pada tanggal 1 juni 2024 perusahaan menandatangani memorandum of understanding dengan wbkm perusahaan sebagai perusahaan yang bergerak di bidang perdagangan dan manufaktur kendaraan listrik dan wbkm sebagai perusahaan yang menyediakan angkutan umum ingin mengeksplorasi dan mempertimbangkan peluang untuk melakukan kerjasama timbal balik yang lebih luas pada proyek di indonesia pada tanggal 1 juni 2024 perusahaan menandatangani perjanjian kerahasiaan dengan wbkm perjanjian tersebut berisi bahwa perusahaan akan bekerja sama dengan wbkm untuk mendiskusikan peluang bisnis atas proyek kendaraan listrik dalam hal ini perusahaan dan wbkm setuju untuk melakukan analisa atas data data yang diberikan oleh pihak lainnya yang dianggap diperlukan berkaitan dengan pelaksanaan proyek j pt maju hijau neg,page_0538.md,538,/Users/darisdzakwanhoesien/Documents/project_documentation/codebase/esg_project/benchmarks/new_page/data/thesis_dataset/vktr_ar_sr_2024_pdf/pages/page_0538.md
