model,model_path,model family,architecture,model_type,label_id,label,label source,A.4 use guidance
ClimateControversyBERT_classification/model_classification,/home/ubuntu/apps/benchmarks/model_download/models/ClimateControversyBERT_classification/model_classification,Climate controversy multiclass,RobertaForSequenceClassification,roberta,0,Brown Projects,config.id2label,Controversy subtype label; keep separate from binary commitment yes/no.
ClimateControversyBERT_classification/model_classification,/home/ubuntu/apps/benchmarks/model_download/models/ClimateControversyBERT_classification/model_classification,Climate controversy multiclass,RobertaForSequenceClassification,roberta,1,Misinformation,config.id2label,Controversy subtype label; keep separate from binary commitment yes/no.
ClimateControversyBERT_classification/model_classification,/home/ubuntu/apps/benchmarks/model_download/models/ClimateControversyBERT_classification/model_classification,Climate controversy multiclass,RobertaForSequenceClassification,roberta,2,Ambiguous Actions,config.id2label,Controversy subtype label; keep separate from binary commitment yes/no.
ClimateControversyBert/model_controversy,/home/ubuntu/apps/benchmarks/model_download/models/ClimateControversyBert/model_controversy,Climate controversy binary,RobertaForSequenceClassification,roberta,0,No Controversy,config.id2label,"Binary controversy label; use as a controversy signal, not a commitment label."
ClimateControversyBert/model_controversy,/home/ubuntu/apps/benchmarks/model_download/models/ClimateControversyBert/model_controversy,Climate controversy binary,RobertaForSequenceClassification,roberta,1,Controversy,config.id2label,"Binary controversy label; use as a controversy signal, not a commitment label."
EnvRoBERTa-base,/home/ubuntu/apps/benchmarks/model_download/models/EnvRoBERTa-base,Environmental ESG binary,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
EnvRoBERTa-environmental,/home/ubuntu/apps/benchmarks/model_download/models/EnvRoBERTa-environmental,Environmental ESG binary,RobertaForSequenceClassification,roberta,0,none,config.id2label,Negative class for this ESG pillar detector.
EnvRoBERTa-environmental,/home/ubuntu/apps/benchmarks/model_download/models/EnvRoBERTa-environmental,Environmental ESG binary,RobertaForSequenceClassification,roberta,1,environmental,config.id2label,Positive ESG pillar detector label.
EnvironmentalBERT-action,/home/ubuntu/apps/benchmarks/model_download/models/EnvironmentalBERT-action,Environmental ESG binary,RobertaForSequenceClassification,roberta,0,none,config.id2label,Negative class for this ESG pillar detector.
EnvironmentalBERT-action,/home/ubuntu/apps/benchmarks/model_download/models/EnvironmentalBERT-action,Environmental ESG binary,RobertaForSequenceClassification,roberta,1,action,config.id2label,Positive ESG pillar detector label.
EnvironmentalBERT-base,/home/ubuntu/apps/benchmarks/model_download/models/EnvironmentalBERT-base,Environmental ESG binary,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
GovRoBERTa-base,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-base,Governance ESG binary,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Governance ESG binary,RobertaForSequenceClassification,roberta,0,none,config.id2label,Negative class for this ESG pillar detector.
GovRoBERTa-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovRoBERTa-governance,Governance ESG binary,RobertaForSequenceClassification,roberta,1,governance,config.id2label,Positive ESG pillar detector label.
GovernanceBERT-base,/home/ubuntu/apps/benchmarks/model_download/models/GovernanceBERT-base,Governance ESG binary,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
GovernanceBERT-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovernanceBERT-governance,Governance ESG binary,RobertaForSequenceClassification,roberta,0,none,config.id2label,Negative class for this ESG pillar detector.
GovernanceBERT-governance,/home/ubuntu/apps/benchmarks/model_download/models/GovernanceBERT-governance,Governance ESG binary,RobertaForSequenceClassification,roberta,1,governance,config.id2label,Positive ESG pillar detector label.
SocRoBERTa-base,/home/ubuntu/apps/benchmarks/model_download/models/SocRoBERTa-base,Social ESG binary,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
SocRoBERTa-social,/home/ubuntu/apps/benchmarks/model_download/models/SocRoBERTa-social,Social ESG binary,RobertaForSequenceClassification,roberta,0,none,config.id2label,Negative class for this ESG pillar detector.
SocRoBERTa-social,/home/ubuntu/apps/benchmarks/model_download/models/SocRoBERTa-social,Social ESG binary,RobertaForSequenceClassification,roberta,1,social,config.id2label,Positive ESG pillar detector label.
SocialBERT-base,/home/ubuntu/apps/benchmarks/model_download/models/SocialBERT-base,Social ESG binary,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
