record_id,run_idx,record_idx,timestamp,model,prompt,target,company,ok,text,text_len_chars,text_len_words,language,aspect,esg,tone_pred,sentiment,sentiment_score,labels,reasoning,suggested_tone,suggestion_source,silver_tone_ground_truth,needs_human_review,schema_drift,has_climate_commitment,has_environmental_claims,has_climate_d,background_job_id,target_pages,climatebert_model,climatebert_model_path,climatebert_model_backend,climatebert_label,climatebert_score,climatebert_commitment_pred,climatebert_job_id,climatebert_elapsed_sec
llm_bf98f267a1b1,25,4,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"10.618.329,24 GJ Konsumsi energi total dalam organisasi",55,7,,energy consumption,e,outcome,neutral,,metrics,Reported total energy consumption data within the organization.,outcome,llm_reprocess,outcome,True,False,False,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998328,False,climatebert_multi_20260526T094231Z_d7a527,0.747
llm_c8e68a5aed8b,25,5,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"54.898,56 TON CO₂EQ Total pengurangan emisi dengan menggunakan metodologi MSLI 009 pada Sistem Registri Nasional (SRN).",119,16,,emissions reduction,e,outcome,positive,1.0,metrics|netzero-reduction,"Reported emissions reduction of 54,898.56 tons CO2e using MSLI 009 methodology.",outcome,llm_reprocess,outcome,True,False,False,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.99834,False,climatebert_multi_20260526T094231Z_d7a527,0.113
llm_ecb90a4666fa,25,6,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"7,5% (230,27 TON) Limbah B3 yang telah didaur ulang",51,9,,hazardous waste recycling,e,outcome,positive,1.0,metrics|environmental-claims,"Reported 7.5% hazardous waste recycled, equivalent to 230.27 tons.",outcome,llm_reprocess,outcome,True,False,False,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998758,False,climatebert_multi_20260526T094231Z_d7a527,0.059
llm_279cc78717c5,25,7,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"12.167,93 TON CO₂EQ Total emisi (Cakupan 1 & 2) pada tahun 2025 menunjukkan penurunan dibandingkan dengan tahun 2024, sejalan dengan implementasi program efisiensi energi dan optimalisasi operasional di anak usaha",213,30,,GHG emissions,e,outcome,positive,1.0,metrics|climate-sentiment,"Reported decrease in Scope 1 & 2 emissions in 2025 compared to 2024, aligned with energy efficiency programs.",outcome,llm_reprocess,outcome,True,False,True,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998444,False,climatebert_multi_20260526T094231Z_d7a527,0.124
llm_c67f101eee07,25,8,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"0,000017 TON CO₂-EQ/US$ Rasio Intensitas Emisi",46,6,,emission intensity ratio,e,outcome,neutral,,metrics,Reported emission intensity ratio of 0.000017 tons CO2e per US$.,outcome,llm_reprocess,outcome,True,False,False,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.997905,False,climatebert_multi_20260526T094231Z_d7a527,0.056
llm_b671d7c3ff82,25,9,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"0,0102 GJ/US$ Intensitas Energi dalam Organisasi",48,6,,energy intensity,e,outcome,neutral,,metrics,Reported energy intensity of 0.0102 GJ per US$.,outcome,llm_reprocess,outcome,True,False,False,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998161,False,climatebert_multi_20260526T094231Z_d7a527,0.047
llm_a2fdfb73e0c3,25,10,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"39,9% Konsumsi Energi berasal dari Sumber daya Energi Terbarukan",64,9,,renewable energy consumption,e,outcome,positive,1.0,climate-commitment|metrics,Reported 39.9% of energy consumption from renewable sources.,outcome,llm_reprocess,outcome,True,False,True,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998089,False,climatebert_multi_20260526T094231Z_d7a527,0.06
llm_85467362f392,25,11,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"458,72 MEGALITER Konsumsi Air",29,4,,water consumption,e,outcome,neutral,,metrics,Reported water consumption of 458.72 megaliters.,outcome,llm_reprocess,outcome,True,False,False,True,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.997415,False,climatebert_multi_20260526T094231Z_d7a527,0.044
llm_de031c963b64,25,12,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,25% Persentase jumlah wanita dalam susunan Dewan Komisaris,58,8,,gender diversity in board,g,outcome,positive,1.0,governance|opportunity,Reported 25% women representation on the Board of Commissioners.,outcome,llm_reprocess,outcome,True,False,False,False,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998282,False,climatebert_multi_20260526T094231Z_d7a527,0.056
llm_5558d0350532,25,13,2026-05-17T06:34:58Z,arcee-ai/trinity-large-thinking:free,tone_zero_shot_indonesian.md,ABM_2025_ABMM_SR_2025_pdf/batch_32,ABM_2025_ABMM_SR_2025,True,"96,9% Keluhan yang telah terselesaikan di tahun 2025",52,8,,grievance resolution,s,outcome,positive,1.0,social|opportunity,Reported 96.9% of grievances resolved in 2025.,outcome,llm_reprocess,outcome,True,False,False,False,False,llm_processing_bg_20260517T055935Z_952657,"page_0062.md, page_0063.md",environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Local model,no,0.998225,False,climatebert_multi_20260526T094231Z_d7a527,0.052
