aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
missing,63,needs_review,manajemen risiko,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> manajemen risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
none,55,needs_review,unclassified_missing,Other,Other,,Manual review -> missing,Placeholder or missing aspect label; keep for manual review instead of assigning a GRI node.
environmental,55,needs_review,kontribusi keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> kontribusi keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
g,36,needs_review,environmental,Other,Financial Sustainability,,GRI 3 Material Topics 2021 -> environmental,Umbrella ESG label should pass through GRI 3 material topics before selecting a specific topic standard.
e,36,needs_review,pernyataan prospektif,Other,Other,,Manual review -> pernyataan prospektif,"Forward-looking statement language is a reporting convention, not a stable GRI ontology node."
s,29,needs_review,inklusi dan literasi keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> inklusi dan literasi keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
pengembangan sdm,29,needs_review,pengurangan emisi dan energi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> pengurangan emisi dan energi,Operational energy consumption and renewable-energy usage remain active under GRI 302 Energy 2016 through 2026.
prinsip kehati-hatian,29,needs_review,pengungkapan keberlanjutan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pengungkapan keberlanjutan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
nilai jangka panjang,26,needs_review,pelatihan k3,Other,Human Capital,,GRI 401-404 Employment and Training -> pelatihan k3,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
pertumbuhan berkelanjutan,25,needs_review,pengendalian internal,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pengendalian internal,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
social,24,needs_review,s,Other,Financial Sustainability,,GRI 3 Material Topics 2021 -> s,Umbrella ESG label should pass through GRI 3 material topics before selecting a specific topic standard.
general,24,needs_review,pengembangan sdm,Other,Human Capital,,GRI 404 Training and Education 2016 -> pengembangan sdm,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
pendekatan terintegrasi esg,22,needs_review,dampak lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> dampak lingkungan,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
kompetensi sdm,18,needs_review,nilai jangka panjang,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> nilai jangka panjang,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
environmental-claims,17,needs_review,standar pelaporan,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> standar pelaporan,Reporting principles and framework references belong under GRI 1 Foundation 2021.
penciptaan nilai jangka panjang,16,needs_review,inklusi keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> inklusi keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
pernyataan forward-looking,16,needs_review,integrasi keberlanjutan dalam tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> integrasi keberlanjutan dalam tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
cakupan laporan esg,15,needs_review,pendekatan terintegrasi esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> pendekatan terintegrasi esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
inovasi dan efisiensi,13,needs_review,kontribusi keberlanjutan sosial dan lingkungan,Other,Community Relations,,GRI 413 Local Communities -> kontribusi keberlanjutan sosial dan lingkungan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
cakupan laporan,13,needs_review,kepatuhan regulasi keberlanjutan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi keberlanjutan,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
cakupan esg,13,needs_review,climate-action,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> climate-action,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
kecelakaan kerja,12,needs_review,keselamatan kerja dan kepatuhan lingkungan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> keselamatan kerja dan kepatuhan lingkungan,"Environmental compliance was previously handled by withdrawn GRI 307, so keep the umbrella issue under governance and compliance in GRI 2 unless it can be decomposed into active environmental topic standards."
disclosure,12,needs_review,climate-commitment,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> climate-commitment,"Climate strategy, climate risk, and climate-governance wording align best with GRI 102 Climate Change 2025; in the documentation this node remains published_not_yet_effective until 2027-01-01."
komitmen rakb 2025,11,needs_review,penggunaan energi terbarukan,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> penggunaan energi terbarukan,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
komitmen esg,10,needs_review,pelaporan keberlanjutan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pelaporan keberlanjutan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
strategy,10,needs_review,sustainability,Other,Financial Sustainability,,GRI 3 Material Topics 2021 -> sustainability,Umbrella ESG label should pass through GRI 3 material topics before selecting a specific topic standard.
business,10,needs_review,manajemen lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> manajemen lingkungan,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
komitmen rakb,10,needs_review,prinsip pelaporan,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> prinsip pelaporan,Reporting principles and framework references belong under GRI 1 Foundation 2021.
visi masa depan,10,needs_review,akses layanan keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> akses layanan keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
strategi operasional,10,needs_review,pernyataan forward-looking,Other,Other,,Manual review -> pernyataan forward-looking,"Forward-looking statement language is a reporting convention, not a stable GRI ontology node."
reklamasi tambang,10,needs_review,efisiensi lingkungan digital,Other,Governance & Ethics,,Governance / Data and Technology -> efisiensi lingkungan digital,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
nilai berkelanjutan,9,needs_review,akses layanan keuangan masyarakat,Other,Community Relations,,GRI 413 Local Communities -> akses layanan keuangan masyarakat,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
social-environmental,9,needs_review,water consumption,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water consumption,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
ketenagakerjaan,8,needs_review,reduksi jejak lingkungan melalui teknologi,Other,Governance & Ethics,,Governance / Data and Technology -> reduksi jejak lingkungan melalui teknologi,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
grievance resolution rate,7,needs_review,cakupan esg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> cakupan esg,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
biodiversitas,7,needs_review,renewable energy consumption,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> renewable energy consumption,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
anti-bribery management system certification,6,needs_review,kecelakaan kerja,Other,Human Capital,,GRI 403 Occupational Health and Safety 2018 -> kecelakaan kerja,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
sertifikasi anti-penyuapan,6,needs_review,tata kelola keberlanjutan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> tata kelola keberlanjutan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
environmental-social,6,needs_review,disclosure,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> disclosure,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
fokus esg,6,needs_review,kepatuhan regulasi,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
produk berkelanjutan,6,needs_review,komitmen esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komitmen esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
kepercayaan pemangku kepentingan,6,needs_review,emissions reduction,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emissions reduction,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
liputan esg,6,needs_review,emission intensity ratio,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emission intensity ratio,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
pendekatan terintegrasi,6,needs_review,business,Other,Financial Sustainability,,Manual review -> business,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
rakb 2025,6,needs_review,struktur tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> struktur tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
transformasi menjadi smart eco-industrial park,5,needs_review,manajemen limbah,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> manajemen limbah,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
whistleblowing,5,needs_review,cakupan laporan keberlanjutan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> cakupan laporan keberlanjutan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
pertumbuhan bisnis seimbang,5,needs_review,intensitas energi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> intensitas energi,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
environmental-integration,5,needs_review,konsumsi air,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> konsumsi air,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
fokus laporan esg,5,needs_review,emission reduction,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emission reduction,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
nilai jangka panjang pemangku kepentingan,5,needs_review,hak asasi manusia,Other,Human Capital,,Manual review -> hak asasi manusia,"Generic human-rights wording previously aligned with withdrawn GRI 412; split it into active topic standards such as discrimination, child labor, forced labor, or indigenous rights before mapping."
strategic vision,4,needs_review,standar pelaporan internasional,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> standar pelaporan internasional,Reporting principles and framework references belong under GRI 1 Foundation 2021.
integrasi esg,4,needs_review,pemberdayaan masyarakat,Other,Community Relations,,GRI 413 Local Communities -> pemberdayaan masyarakat,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
kinerja operasional,4,needs_review,ketenagakerjaan,Other,Human Capital,,GRI 401 Employment 2016 -> ketenagakerjaan,Generic labor and workforce-practice wording maps to GRI 401 Employment 2016.
environmental_practices,4,needs_review,kinerja keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> kinerja keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
strategi bisnis,4,needs_review,praktik sosial,Other,Community Relations,,GRI 413 Local Communities -> praktik sosial,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
gcg,4,needs_review,efisiensi teknologi,Other,Governance & Ethics,,Governance / Data and Technology -> efisiensi teknologi,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
risk,3,needs_review,energi terbarukan,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> energi terbarukan,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
gender diversity in board,3,needs_review,keselamatan dan kesehatan kerja,Other,Human Capital,,GRI 401-404 Employment and Training -> keselamatan dan kesehatan kerja,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
grievance resolution,3,needs_review,k3,Other,Human Capital,,GRI 401-404 Employment and Training -> k3,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
pajak yang dibayarkan,3,needs_review,strategi iklim,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> strategi iklim,"Climate strategy, climate risk, and climate-governance wording align best with GRI 102 Climate Change 2025; in the documentation this node remains published_not_yet_effective until 2027-01-01."
royalti yang dibayarkan,3,needs_review,akses keuangan masyarakat,Other,Community Relations,,GRI 413 Local Communities -> akses keuangan masyarakat,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
komitmen transformasi bisnis berkelanjutan,3,needs_review,biodiversitas,Other,Biodiversity & Land,,GRI 101 Biodiversity 2024 -> biodiversitas,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
penciptaan nilai berkelanjutan dan manfaat pemangku kepentingan,3,needs_review,nilai ekonomi berkelanjutan,Other,Financial Sustainability,,GRI 201 Economic Performance -> nilai ekonomi berkelanjutan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
penyelesaian keluhan,3,needs_review,efisiensi teknologi digital,Other,Governance & Ethics,,Governance / Data and Technology -> efisiensi teknologi digital,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
pertumbuhan bisnis berkelanjutan,3,needs_review,konsumsi energi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> konsumsi energi,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
sustainable value,3,needs_review,total energy consumption,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> total energy consumption,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
kesinambungan nilai usaha,3,needs_review,fokus esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> fokus esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
environmental practices,3,needs_review,efisiensi lingkungan melalui teknologi,Other,Governance & Ethics,,Governance / Data and Technology -> efisiensi lingkungan melalui teknologi,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
pengembangan operasi tambang,3,needs_review,kinerja ekonomi,Other,Financial Sustainability,,GRI 201 Economic Performance -> kinerja ekonomi,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
bisnis,3,needs_review,strategi keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> strategi keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
corporate,3,needs_review,dampak sosial dan lingkungan,Other,Community Relations,,GRI 413 Local Communities -> dampak sosial dan lingkungan,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
pengadaan,3,needs_review,tata kelola,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> tata kelola,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
komitmen pertumbuhan bertanggung jawab,3,needs_review,liputan esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> liputan esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
penanaman mangrove,3,needs_review,pendampingan masyarakat,Other,Community Relations,,GRI 413 Local Communities -> pendampingan masyarakat,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
rating esg,3,needs_review,kerangka pelaporan keberlanjutan,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> kerangka pelaporan keberlanjutan,Reporting principles and framework references belong under GRI 1 Foundation 2021.
pengawasan strategi,3,needs_review,standar pelaporan gri,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> standar pelaporan gri,Reporting principles and framework references belong under GRI 1 Foundation 2021.
aksesibilitas laporan,3,needs_review,keberlanjutan lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> keberlanjutan lingkungan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
