run_idx,timestamp,input_text,model,status,label,score,error
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",econbert,error,,,Unrecognized model in climatebert/econbert. Should have a `model_type` key in its config.json.
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",controversy-classification,error,,,Unrecognized model in climatebert/ClimateControversyBERT_classification. Should have a `model_type` key in its config.json.
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",controversy-bert,error,,,Unrecognized model in climatebert/ClimateControversyBert. Should have a `model_type` key in its config.json.
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",netzero-reduction,ok,none,1.0,
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",transition-physical,ok,Physical risk,1.0,
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",renewable,ok,Not about renewables,1.0,
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",climate-detector,ok,no,0.99,
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",climate-commitment,ok,yes,0.92,
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",climate-tcfd,ok,metrics,0.77,
0,2026-03-26T15:43:20.151168Z,"Company's media and entertainment portfolio has successfully maintained its dominance in the country's media industry. Total audience share contributed by the Company's FTA television station reached 32.9%. The Group also managed to position all of its FTA TV stations in the top 10 of the national media industry based on viewership. Even as a newcomer, Mentari achieved a 5.3% audience rating in 2024, placing it at the 7th of the top 10 FTA TV stations. Meanwhile, SCTV and Indosiar reached the first and seconding with audience ratings of 14.1% and 13.5%, respectively.
",climate-s,ok,LABEL_1,0.51,
