record_id,company,prompt,model,text,tone_pred,has_climate_commitment,has_environmental_claims,has_climate_d,labels,agreement_commitment
r000_000,BEST-SR_2024,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"As a pioneer among industrial estate developers in Indonesia, BeFa is at the forefront of creating a green and eco-friendly industrial zone. This transformative initiative aims to minimize environmental impact while promoting a sustainable economic model. It includes prioritizing renewable energy sources, implementing waste management systems, and ensuring efficient resource utilization.",commitment,False,True,True,climate-detection|climate-d|climate-d-s|climate-specificity|environmental-claims,False
r000_001,BEST-SR_2024,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"The Company is dedicated to continuous innovation and excellence within the realm of ESG, striving to create spaces that harmoniously blend industry with ecological sustainability. In its pursuit of this vision, BeFa is evolving into a Smart Eco-Industrial Park. This initiative focuses on promoting sustainable development through the incorporation of advanced technologies, smart infrastructure, and environmentally friendly practices that benefit both the community and the ecosystem. By fostering collaboration among tenants and other stakeholders, BeFa aims to set a precedent for responsible industrial growth while addressing global environmental challenges.",commitment,False,True,True,climate-detection|climate-d|climate-d-s|climate-specificity|environmental-claims,False
r000_002,BEST-SR_2024,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,BeFa reaffirms its dedication to leadership excellence by promoting the professional development of its Board of Directors. Each board member is given the opportunity to participate in a specialized competency enhancement program designed to provide them with the latest industry knowledge and strategic insights.,action,False,False,False,governance,True
r006_000,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Sepanjang tahun 2024, VKTR mengukuhkan peran strategisnya dalam membentuk lanskap baru transportasi berkelanjutan di Indonesia. Tidak hanya sebagai perintis, VKTR kini hadir sebagai arsitek utama yang merancang dan mewujudkan solusi mobilitas hijau yang adaptif dan menyeluruh. Melalui pengembangan kendaraan listrik komersial lintas sektor, mulai dari truk dan bus, hingga solusi logistik dan angkutan perkotaan, VKTR memperkenalkan model mobilitas yang tidak hanya efisien, tetapi juga berorientasi pada masa depan rendah emisi.",commitment,True,True,False,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,True
r006_001,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Keberhasilan pembangunan fasilitas perakitan kendaraan listrik di Magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional. Dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri, VKTR memperluas cakupan dampak transformasi, dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial.",outcome,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r006_002,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,Komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor-sektor strategis.,commitment,True,True,False,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,True
r006_003,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"VKTR terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon. Perjalanan ini bukan sekadar menghadirkan produk, tetapi membentuk sistem, sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi, tanggung jawab lingkungan, dan tekad kolektif membangun Indonesia yang lebih hijau dan tangguh.",commitment,True,True,False,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,True
r006_004,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 10 Oktober 2023, Perusahaan dan MB menandatangani perjanjian kerja sama antara BA, Entitas Anak, dan MB, dimana Perusahaan akan menyediakan jasa perawatan, perbaikan dan penyediaan suku cadang untuk BYD yang dibutuhkan oleh Kendaraan Bus Listrik BYD K9 LF milik MB. Perusahaan menyatakan bersedia untuk bekerja sama dengan MB dalam hal perawatan, perbaikan, dan penyediaan suku cadang untuk Kendaraan Bus Listrik BYD K9 LF.",action,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r006_005,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 27 September 2024, Perusahaan menandatangani Surat Perjanjian Kerahasiaan (NDA) dengan PT Agro Multi Persada. NDA tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh AMP untuk tujuan uji coba kendaraan listrik Perusahaan.",action,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r006_006,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 1 Juni 2024, Perusahaan menandatangani Memorandum of Understanding dengan WBKM. Perusahaan, sebagai perusahaan yang bergerak di bidang perdagangan dan manufaktur kendaraan listrik, dan WBKM, sebagai Perusahaan yang menyediakan angkutan umum, ingin mengeksplorasi dan mempertimbangkan peluang untuk melakukan kerjasama timbal balik yang lebih luas pada proyek di Indonesia.",commitment,True,True,False,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,True
