aspect,records,mapped_to_ontology,suggested_path
praktik bisnis ramah lingkungan,140,True,GRI 306 Waste / GRI 303 Water -> praktik bisnis ramah lingkungan
governance,113,True,GRI 205 Anti-corruption / GRI 2 Governance -> governance
climate-detection,79,True,GRI 305 Emissions / TCFD Climate -> climate-detection
tata kelola perusahaan,73,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola perusahaan
komitmen keberlanjutan,72,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen keberlanjutan
kinerja esg,66,True,GRI 201 Economic Performance -> kinerja esg
manajemen risiko,65,True,GRI 205 Anti-corruption / GRI 2 Governance -> manajemen risiko
pengelolaan risiko,64,True,GRI 205 Anti-corruption / GRI 2 Governance -> pengelolaan risiko
missing,63,False,
kontribusi keberlanjutan,63,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kontribusi keberlanjutan
keberlanjutan sosial dan lingkungan,59,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keberlanjutan sosial dan lingkungan
kepatuhan lingkungan,58,True,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan lingkungan
pengelolaan limbah,56,True,GRI 306 Waste / GRI 303 Water -> pengelolaan limbah
none,55,False,
environmental,55,False,
pernyataan prospektif,54,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pernyataan prospektif
keselamatan kerja,48,True,GRI 401-404 Employment and Training -> keselamatan kerja
material ramah lingkungan,45,True,GRI 306 Waste / GRI 303 Water -> material ramah lingkungan
risiko hak asasi manusia,41,True,GRI 401-404 Employment and Training -> risiko hak asasi manusia
inklusi dan literasi keuangan,41,True,GRI 201 Economic Performance -> inklusi dan literasi keuangan
pengurangan emisi dan energi,38,True,GRI 305 Emissions / TCFD Climate -> pengurangan emisi dan energi
pengungkapan keberlanjutan,37,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengungkapan keberlanjutan
g,36,False,
e,36,False,
pelatihan k3,36,True,GRI 401-404 Employment and Training -> pelatihan k3
dampak lingkungan operasional,32,True,GRI 306 Waste / GRI 303 Water -> dampak lingkungan operasional
pengendalian internal,30,True,GRI 205 Anti-corruption / GRI 2 Governance -> pengendalian internal
standar pelaporan keberlanjutan,30,True,GRI 2 General Disclosures / GRI 3 Material Topics -> standar pelaporan keberlanjutan
s,29,False,
pengembangan sdm,29,False,
prinsip kehati-hatian,29,False,
tema keberlanjutan,28,True,GRI 2 General Disclosures / GRI 3 Material Topics -> tema keberlanjutan
dampak lingkungan,26,True,GRI 306 Waste / GRI 303 Water -> dampak lingkungan
nilai jangka panjang,26,False,
standar pelaporan,26,True,GRI 2 General Disclosures / GRI 3 Material Topics -> standar pelaporan
pertumbuhan berkelanjutan,25,False,
integrasi praktik bisnis ramah lingkungan,25,True,GRI 306 Waste / GRI 303 Water -> integrasi praktik bisnis ramah lingkungan
social,24,False,
general,24,False,
inklusi keuangan,23,True,GRI 201 Economic Performance -> inklusi keuangan
pengurangan emisi,22,True,GRI 305 Emissions / TCFD Climate -> pengurangan emisi
integrasi keberlanjutan dalam tata kelola,22,True,GRI 2 General Disclosures / GRI 3 Material Topics -> integrasi keberlanjutan dalam tata kelola
keberlanjutan bisnis,22,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keberlanjutan bisnis
pendekatan terintegrasi esg,22,False,
kontribusi keberlanjutan sosial dan lingkungan,21,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kontribusi keberlanjutan sosial dan lingkungan
kepatuhan regulasi keberlanjutan,20,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kepatuhan regulasi keberlanjutan
climate-action,19,True,GRI 305 Emissions / TCFD Climate -> climate-action
kompetensi sdm,18,False,
keselamatan kerja dan kepatuhan lingkungan,18,True,GRI 205 Anti-corruption / GRI 2 Governance -> keselamatan kerja dan kepatuhan lingkungan
environmental-claims,17,False,
climate-commitment,17,True,GRI 305 Emissions / TCFD Climate -> climate-commitment
penggunaan energi terbarukan,17,True,GRI 305 Emissions / TCFD Climate -> penggunaan energi terbarukan
pelaporan keberlanjutan,17,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pelaporan keberlanjutan
sustainability,16,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability
manajemen lingkungan,16,True,GRI 306 Waste / GRI 303 Water -> manajemen lingkungan
dampak lingkungan rantai nilai,16,True,GRI 306 Waste / GRI 303 Water -> dampak lingkungan rantai nilai
penciptaan nilai jangka panjang,16,False,
prinsip pelaporan,16,True,GRI 2 General Disclosures / GRI 3 Material Topics -> prinsip pelaporan
akses layanan keuangan,16,True,GRI 201 Economic Performance -> akses layanan keuangan
pernyataan forward-looking,16,False,
efisiensi lingkungan digital,15,True,GRI 306 Waste / GRI 303 Water -> efisiensi lingkungan digital
integrasi praktik ramah lingkungan,15,True,GRI 306 Waste / GRI 303 Water -> integrasi praktik ramah lingkungan
cakupan laporan esg,15,False,
risiko iklim,14,True,GRI 305 Emissions / TCFD Climate -> risiko iklim
akses layanan keuangan masyarakat,14,True,GRI 413 Local Communities -> akses layanan keuangan masyarakat
water consumption,13,True,GRI 306 Waste / GRI 303 Water -> water consumption
manajemen air,13,True,GRI 306 Waste / GRI 303 Water -> manajemen air
inovasi dan efisiensi,13,False,
cakupan laporan,13,False,
reduksi jejak lingkungan melalui teknologi,13,True,GRI 306 Waste / GRI 303 Water -> reduksi jejak lingkungan melalui teknologi
cakupan esg,13,False,
pengelolaan risiko keberlanjutan,13,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengelolaan risiko keberlanjutan
renewable energy consumption,12,True,GRI 305 Emissions / TCFD Climate -> renewable energy consumption
kecelakaan kerja,12,False,
tata kelola keberlanjutan,12,True,GRI 2 General Disclosures / GRI 3 Material Topics -> tata kelola keberlanjutan
disclosure,12,False,
kepatuhan regulasi,12,True,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi
climate-d,11,True,GRI 305 Emissions / TCFD Climate -> climate-d
komitmen rakb 2025,11,False,
komitmen esg,10,False,
strategy,10,False,
emissions reduction,10,True,GRI 306 Waste / GRI 303 Water -> emissions reduction
emission intensity ratio,10,True,GRI 306 Waste / GRI 303 Water -> emission intensity ratio
energy intensity,10,True,GRI 305 Emissions / TCFD Climate -> energy intensity
business,10,False,
struktur tata kelola,10,True,GRI 205 Anti-corruption / GRI 2 Governance -> struktur tata kelola
peningkatan kualitas operasional dan tata kelola,10,True,GRI 205 Anti-corruption / GRI 2 Governance -> peningkatan kualitas operasional dan tata kelola
good corporate governance,10,True,GRI 205 Anti-corruption / GRI 2 Governance -> good corporate governance
komitmen rakb,10,False,
visi masa depan,10,False,
strategi operasional,10,False,
manajemen limbah,10,True,GRI 306 Waste / GRI 303 Water -> manajemen limbah
reduksi emisi,10,True,GRI 305 Emissions / TCFD Climate -> reduksi emisi
reklamasi tambang,10,False,
kesejahteraan masyarakat,10,True,GRI 413 Local Communities -> kesejahteraan masyarakat
cakupan laporan keberlanjutan,10,True,GRI 2 General Disclosures / GRI 3 Material Topics -> cakupan laporan keberlanjutan
energy consumption,9,True,GRI 305 Emissions / TCFD Climate -> energy consumption
intensitas emisi,9,True,GRI 305 Emissions / TCFD Climate -> intensitas emisi
intensitas energi,9,True,GRI 305 Emissions / TCFD Climate -> intensitas energi
konsumsi air,9,True,GRI 306 Waste / GRI 303 Water -> konsumsi air
emission reduction,9,True,GRI 306 Waste / GRI 303 Water -> emission reduction
hak asasi manusia,9,True,GRI 401-404 Employment and Training -> hak asasi manusia
praktik bisnis ramah lingkungan dan keberlanjutan,9,True,GRI 2 General Disclosures / GRI 3 Material Topics -> praktik bisnis ramah lingkungan dan keberlanjutan
nilai berkelanjutan,9,False,
