run_idx,prompt,model,target,company,ok,record_count,json_parse_success,missing_tone_count,missing_tone_rate,schema_drift_count,schema_drift_rate,field_completion_rate
0,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_8,BEST-SR_2024,True,3,True,0,0.0,0,0.0,1.0
1,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_8,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
2,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
3,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
4,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
5,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
6,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,12,True,0,0.0,0,0.0,1.0
7,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_4,AR SR GTRA 2024,True,21,True,0,0.0,0,0.0,1.0
8,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_5,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
9,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_5,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
10,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_5,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
11,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_5,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
12,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,11,True,0,0.0,0,0.0,1.0
13,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_5,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
14,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,24,True,1,0.041666666666666664,1,0.041666666666666664,0.9722222222222222
15,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,0,True,0,0.0,0,0.0,0.0
16,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_5,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
17,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
18,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
19,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
20,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
21,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
22,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
23,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
