record_id,run_idx,record_idx,timestamp,model,prompt,target,company,ok,text,text_len_chars,text_len_words,language,aspect,esg,tone_pred,sentiment,sentiment_score,labels,reasoning,suggested_tone,suggestion_source,silver_tone_ground_truth,needs_human_review,schema_drift,has_climate_commitment,has_environmental_claims,has_climate_d,background_job_id,target_pages,climatebert_model,climatebert_model_path,climatebert_model_backend,climatebert_label,climatebert_score,climatebert_commitment_pred,climatebert_job_id,climatebert_elapsed_sec
llm_dcedf3b39353,456,2,2026-05-19T23:31:39Z,minimax/minimax-m2.5:free,tone_few_shot_indonesian.md,alfamart_sustainability_2025_pdf/batch_48,alfamart_sustainability_2025,True,Laporan Keberlanjutan disusun berdasarkan Peraturan Otoritas Jasa Keuangan No. 51/POJK.03/2017 tentang Penerapan Keuangan Berkelanjutan,135,14,,kepatuhan regulasi keberlanjutan,e,none,neutral,,governance|strategy,Kepatuhan terhadap regulasi keuangan berkelanjutan.,none,llm_reprocess,none,True,False,False,True,False,llm_bg_action_20260519T205923Z_6eca10,page_0047.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.734
llm_84ecb6e0c0a1,456,3,2026-05-19T23:31:39Z,minimax/minimax-m2.5:free,tone_few_shot_indonesian.md,alfamart_sustainability_2025_pdf/batch_48,alfamart_sustainability_2025,True,"Beberapa hal yang menjadi fokus laporan ini adalah terkait ekonomi, sosial dan lingkungan.",90,13,,pilar keberlanjutan,e,none,neutral,,environmental-claims,Menyebutkan ketiga pilar keberlanjutan termasuk lingkungan.,none,llm_reprocess,none,True,False,False,True,False,llm_bg_action_20260519T205923Z_6eca10,page_0047.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.103
llm_7ca97f161daa,456,4,2026-05-19T23:31:39Z,minimax/minimax-m2.5:free,tone_few_shot_indonesian.md,alfamart_sustainability_2025_pdf/batch_48,alfamart_sustainability_2025,True,Persistensi mengutip informasi dari indeks konten Global Reporting Initiative (GRI),83,10,,standar pelaporan internasional,e,none,neutral,,governance|strategy,Menggunakan standar GRI untuk pelaporan keberlanjutan.,none,llm_reprocess,none,True,False,False,True,False,llm_bg_action_20260519T205923Z_6eca10,page_0047.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.111
llm_f64d5058aa0a,457,0,2026-05-19T23:31:46Z,minimax/minimax-m2.5:free,tone_chain_of_thought_indonesian.md,alfamart_sustainability_2025_pdf/batch_30,alfamart_sustainability_2025,True,"Dalam upaya untuk meningkatkan pelayanan kepada pelanggan dan masyarakat secara lebih luas, Alfamart terus berupaya mengintegrasikan praktik bisnis yang ramah lingkungan dalam operasionalnya. Dengan demikian, ""Alfamart Melayani"" bukan hanya tentang memenuhi kebutuhan pelanggan, tetapi juga tentang berkontribusi pada keberlanjutan sosial dan lingkungan di sekitar.",365,44,,environmental commitment,e,commitment,neutral,,climate-detection|environmental-claims|strategy,Pernyataan mengenai upaya mengintegrasikan praktik bisnis ramah lingkungan namun bersifat umum tanpa target atau metrik spesifik. Tidak ada data kuantitatif atau komitmen konkret yang disebutkan.,commitment,llm_reprocess,commitment,True,False,True,True,True,llm_bg_action_20260519T210251Z_28b6e3,page_0029.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.122
llm_c5631131c2b2,457,1,2026-05-19T23:31:46Z,minimax/minimax-m2.5:free,tone_chain_of_thought_indonesian.md,alfamart_sustainability_2025_pdf/batch_30,alfamart_sustainability_2025,True,"Dewan Komisaris menilai bahwa Komite Audit telah menjalankan perannya dengan baik dalam mendukung pengawasan terhadap pelaporan keuangan, pengendalian internal, serta kepatuhan terhadap regulasi yang berlaku. Sepanjang tahun 2024, Komite Audit telah melakukan evaluasi mendalam terhadap laporan keuangan Perseroan, efektivitas sistem pengendalian internal, serta kepatuhan terhadap standar akuntansi dan regulasi pasar modal.",425,51,,governance - audit committee,g,action,positive,0.6,governance|risk,"Menjelaskan aktivitas dan kinerja Komite Audit secara positif dengan fokus pada pengawasan keuangan, pengendalian internal, dan kepatuhan regulasi. Merupakan penilaian outcome terhadap kinerja komite.",action,llm_reprocess,action,True,False,False,False,False,llm_bg_action_20260519T210251Z_28b6e3,page_0029.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.1
llm_74255e5f74b3,457,2,2026-05-19T23:31:46Z,minimax/minimax-m2.5:free,tone_chain_of_thought_indonesian.md,alfamart_sustainability_2025_pdf/batch_30,alfamart_sustainability_2025,True,"Komite Nominasi dan Remunerasi juga telah menjalankan tugasnya secara optimal dalam memastikan bahwa kebijakan sumber daya manusia, termasuk penetapan remunerasi, penilaian kinerja Direksi dan manajemen, serta perencanaan suksesi, dilakukan dengan prinsip transparansi dan objektivitas.",286,34,,governance - nomination committee,g,action,positive,0.5,governance,Menjelaskan peran Komite Nominasi dan Remunerasi dalam memastikan kebijakan SDM dengan prinsip transparansi dan objektivitas. Fokus pada governance tanpa aspek iklim spesifik.,action,llm_reprocess,action,True,False,False,False,False,llm_bg_action_20260519T210251Z_28b6e3,page_0029.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.089
llm_25df35916709,457,3,2026-05-19T23:31:46Z,minimax/minimax-m2.5:free,tone_chain_of_thought_indonesian.md,alfamart_sustainability_2025_pdf/batch_30,alfamart_sustainability_2025,True,"Dewan Komisaris menilai bahwa keberadaan Sistem Pelaporan Pelanggaran (Whistleblowing System/WBS) merupakan elemen penting dalam penerapan Tata Kelola Perusahaan yang Baik (GCG), terutama dalam menjaga transparansi, integritas, serta budaya kepatuhan di lingkungan Perseroan.",275,32,,governance - whistleblowing,g,action,positive,0.4,governance,Menjelaskan pentingnya WBS dalam penerapan GCG untuk menjaga transparansi dan integritas. Merupakan pernyataan governance tanpa kaitan langsung dengan ESG lingkungan atau iklim.,action,llm_reprocess,action,True,False,False,False,False,llm_bg_action_20260519T210251Z_28b6e3,page_0029.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.105
llm_8d9ae96d8e65,457,4,2026-05-19T23:31:46Z,minimax/minimax-m2.5:free,tone_chain_of_thought_indonesian.md,alfamart_sustainability_2025_pdf/batch_30,alfamart_sustainability_2025,True,"Komite Audit juga memberikan rekomendasi strategis dalam pengelolaan risiko, terutama yang berkaitan dengan keamanan data, tata kelola rantai pasok, dan mitigasi potensi fraud dalam operasional bisnis.",201,26,,governance - risk management,g,action,neutral,,governance|risk,"Menjelaskan aktivitas pengelolaan risiko oleh Komite Audit termasuk keamanan data dan tata kelola rantai pasok. Fokus pada governance risiko bisnis umum, bukan risiko iklim spesifik.",action,llm_reprocess,action,True,False,False,False,False,llm_bg_action_20260519T210251Z_28b6e3,page_0029.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.109
llm_b48202734e29,458,0,2026-05-19T23:32:50Z,minimax/minimax-m2.5:free,tone_few_shot_indonesian.md,alfamart_sustainability_2025_pdf/batch_49,alfamart_sustainability_2025,True,"Dalam upaya untuk meningkatkan pelayanan kepada pelanggan dan masyarakat secara lebih luas, Alfamart terus berupaya mengintegrasikan praktik bisnis yang ramah lingkungan dalam operasionalnya. Dengan demikian, ""Alfamart Melayani"" bukan hanya tentang memenuhi kebutuhan pelanggan, tetapi juga tentang berkontribusi pada keberlanjutan sosial dan lingkungan di sekitar.",365,44,,integrasi praktik bisnis ramah lingkungan,e,none,neutral,,environmental-claims|climate-d|climate-detection,Pernyataan umum tentang upaya integrasi praktik ramah lingkungan tanpa detail spesifik mengenai tindakan atau target konkret.,none,llm_reprocess,none,True,False,True,True,True,llm_bg_action_20260519T205923Z_6eca10,page_0048.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.119
llm_db69a94a5363,458,1,2026-05-19T23:32:50Z,minimax/minimax-m2.5:free,tone_few_shot_indonesian.md,alfamart_sustainability_2025_pdf/batch_49,alfamart_sustainability_2025,True,"Beberapa hal yang menjadi fokus laporan ini adalah terkait ekonomi, sosial dan lingkungan.",90,13,,fokus pelaporan keberlanjutan,e,none,neutral,,none,"Pernyataan umum bahwa lingkungan adalah fokus pelaporan, tanpa detail spesifik.",none,llm_reprocess,none,True,False,False,True,False,llm_bg_action_20260519T205923Z_6eca10,page_0048.md,renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Local model,LABEL_0,0.999684,False,climatebert_multi_20260527T052514Z_3693e3,0.11
