,raw_aspects,aspect_categories,majority_category,sentiments,tones,avg_confidence
0,Operational performance aligned with sustainability,E,E,"POSITIVE, positive",Action,0.8222072596544063
1,Responsible Sourcing,S,S,positive,Commitment,0.22747200347394847
2,Sistem Manajemen Perusahaan,G,S,positive,Commitment,0.8542228141711675
3,energy consumption,E,E,Positive,Action,0.9821655162613249
4,Revenue,E,E,positive,Commitment,0.7839188860614195
5,Environmental Sustainability,E,S,Positive,Action,0.8521697821596829
6,"Customer Satisfaction, Customer satisfaction, customer satisfaction",S,E,"Positive, positive",Commitment,0.18488849652185824
7,Climate Strategy,G,E,positive,Outcome,0.9293206785086635
8,Tata kelola perusahaan yang baik,E,E,positive,Commitment,0.2513339924135092
9,"Inklusi Tempat Kerja, Inklusi tempat kerja",E,E,positive,Action,0.9486286176359727
10,kesetaraan gender di tempat kerja,E,G,Positive,Action,0.1470275282162593
11,Anti-Corruption and Integrity Policies,S,E,Negative,Action,0.8461962049291941
12,community investment,E,E,positive,Commitment,0.5030967962463386
13,Sustainable Mining Practices,E,E,positive,Outcome,0.14258912477986607
14,Energy Conservation,E,S,positive,Action,0.5904852928493399
15,company performance,E,S,positive,Komitmenn,0.4070158345394659
16,Dana Bantuan Pendidikan,E,G,positive,Financial Health,0.05270896036742545
17,Supply Chain Management,S,E,positive,Outcome,0.6892835333292714
18,Utilizing solar PV in mine closure areas,E,G,positive,"Commitment, Outcome",0.5926662542688201
19,IT Development,E,S,neutral,Action,0.15513294047849624
20,Supply Chain Environmental Commitment,E,G,positive,Community Support,0.7245383324288026
21,PT Tele-tama Artha Mandiri (TAM),E,G,positive,Action,0.8269076335678353
22,sustainable business practices,G,E,positive,Outcome,0.9482697495144249
23,E-commerce Development,S,S,positive,Action,0.9361055187095071
24,Komitmen terhadap penerapan prinsip keberlanjutan di seluruh aspek bisnis,E,G,positive,Commitment,0.9166742474586247
25,labor standards in supply chain,E,E,positive,Commitment,0.8622790577367865
26,"None, Reporting",G,S,neutral,Description,0.0532760136890299
27,Sustainable Agriculture,E,G,neutral,Outcome,0.7402796247364456
28,Social,E,G,positive,Action,0.5788220961953459
29,penjualan bersih,S,E,positive,Commitment,0.4897720862401457
30,ESG Integration,"E, S",E,positive,Commitment,0.5482218419086144
31,sustainability reporting,S,E,positive,Action,0.9856623528725841
32,Scope 3 emissions measurement,G,S,neutral,Commitment,0.7663864590227799
33,commitment to participating in this global movement by contributing to the realization of these sustainable development goals,S,E,positive,Commitment,0.7006427497687192
34,geographic operational reach,S,S,positive,Action,0.8774455143893796
35,Product Development,E,S,positive,Action,0.1686459845501136
36,ESG integration in business strategy,E,E/S/G,positive,Outcome,0.6211728491228641
37,Awards,S,G,"POSITIVE, positive",Outcome,0.7409939480569646
38,Employee Training and Development,G,G,positive,Commitment,0.05631115592295011
39,Absence of share trading sanctions,E,E,POSITIVE,Commitment,0.7495949898401227
40,Contribution to Sustainable Development,G,G,positive,Action,0.040343473772885385
41,operational performance,E,S,neutral,Outcome,0.18650007491095355
42,Sustainable Economic Growth,E,E,positive,Commitment,0.946117064775516
43,economic recovery,E,E,positive,Outcome,0.488671926432345
44,Regulatory Compliance,E,E,positive,Commitment,0.8617925575285049
45,sertifikasi ISO 45001:2018,E,E,positive,Action,0.05542269580184778
46,Business resilience and sustainability,S,E,positive,Governance,0.35763757501802507
47,Sustainability Performance,E,G,neutral,Commitment,0.9581803324211859
48,Digital shopping experience,S,G,positive,Methodology,0.43641727290454657
49,Sustainability Report,S,S,neutral,Commitment,0.7694051705768159
50,GHG Emission Reduction Targets,E,S,positive,Commitment,0.00570253671455101
51,Joint Venture,S,S,positive,Commitment,0.49717717265652606
52,Sustainability Targets,"E, G",S,positive,Outcome,0.7247302813078454
53,"Water Efficiency, Water efficiency",S,S,positive,Commitment,0.7994230386652716
54,Local Supplier Empowerment,S,G,Positive,Commitment,0.9755937198559048
55,inisiatif keuangan berkelanjutan,E,G,positive,Commitment,0.8281290271543053
56,Integrity agreements,S,G,positive,Investment,0.0350427300493974
57,Store Portfolio Strategy,E,S,Neutral,Outcome,0.3249950493548065
58,land rehabilitation,ESG,G,positive,"Action, Commitment",0.6405401473528596
59,Information Security,G,E,"Positive, positive","Action, Commitment",0.9483794908737836
60,social responsibility commitment,E,S,positive,Commitment,0.46556090794901905
61,Wastewater Management,E,E,positive,Commitment,0.5269286800228571
62,Integration of ESG aspects into credit policies,S,E,positive,Action,0.008378023790838296
63,sustainability reporting,S,S,positive,Action,0.8061631516470953
64,Stakeholder Engagement,S,G,positive,Commitment,0.5816683142307492
65,Farmer Support,E,E,positive,Action,0.6830467142691861
66,"Sustainability Framework, sustainability framework",E,S,positive,Risk,0.9788181849022245
67,human capital award,G,E,positive,Action,0.7632895071147473
68,Corporate Values - Customer Focus,E,S/E,positive,Action,0.9729161404360422
69,data privacy and security,E,S,neutral,"Action, Outcome",0.30329731642448865
70,stakeholder consultation,"G, S",E,positive,Outcome,0.9758001569117444
71,Sustainability Governance,E,E,negative,Commitment,0.36083432257008496
72,Waste Reduction,G,E,positive,"Action, Outcome",0.33462775012858315
73,Energy Efficiency,S,G,positive,"Assurance, Outcome",0.9129052455729434
74,sustainability mission,S,S,positive,Commitment,0.6385518988642445
75,toll road portfolio,G,E,positive,"Action, Commitment",0.986191173666555
76,Balanced Impact Consideration,S,G,positive,Commitment,0.35488934326831556
77,Occupational Health and Safety,G,S,positive,Action,0.22163553153445137
78,"Inovasi Produk, inovasi produk",S,S,positive,Action,0.20243034550094718
79,Community Development,S,G,positive,Commitment,0.6678197526297516
80,sustainability-oriented approach,S,S,Positive,Commitment,0.5945240707491505
81,sustainability commitment,E,E,"Positive, positive","Action, Strategy",0.1062943250853784
82,rainwater harvesting system,E,S,positive,Action,0.8972029072452279
83,Energy Consumption Performance,S,E,positive,Action,0.1436691057166931
84,Pengukuran emisi gas rumah kaca cakupan 1 dan 2,E,E,positive,Commitment,0.15038407655388164
85,Education program,E,S,positive,Risk,0.19091872962273804
86,Circular Economy,S,S,positive,Action,0.45457234827131177
87,ESG governance integration,E,E,Positive,Action,0.026852685649185193
88,telecommunication device importer,G,E,positive,Outcome,0.01296224035160487
89,sustainable sourcing,E,E,positive,Action,0.3397905318364215
90,employee development,"G, S",E,neutral,outcome,0.5229831178093874
91,positive impact on community and environment,G,S,neutral,Commitment,0.4502878643710173
92,emisi karbon,E,E,positive,Outcome,0.18456245445030228
93,Governance,G,E,"neutral, positive",Outcome,0.34388669421153173
94,Community Support,E,E,Positive,Commitment,0.03697752143622657
95,Regulatory Compliance,E,S,positive,"Commitment, Outcome",0.20413829999647215
96,Plastic Reduction,"G, S",G,positive,Outcome,0.3546141837867748
97,sustainability framework,S,S,positive,Action,0.30834557103095284
98,balance between financial and sustainability performance,S,G,positive,Action,0.7910272194547652
99,Stakeholder Relationships,"G, None",E,positive,"Action, Commitment",0.011705058645851696
100,sustainability reporting,E,S,positive,Action,0.6433175405466646
101,Revenue,G,S,positive,"Achievement, Commitment, Outcome",0.5238652578111949
102,Digital Innovation,G,E,positive,Commitment,0.8167225324503292
103,sustainable performance,E,S,positive,Action,0.36277861397295563
104,Sustainability Governance Structure,E,S,positive,Outcome,0.5337068697515597
105,Environmental Efficiency,G,E,POSITIVE,Commitment,0.30776535819444806
106,ESG Risk Rating,S,E,neutral,Commitment,0.17753622216321163
107,reduction of virgin plastic,S,S,neutral,Action,0.7382536829816317
108,Komitmennya Bank Mandiri,E,G,positive,Commitment,0.4254912909792078
109,Reporting,S,E,positive,Commitment,0.9225075724368414
110,governance factors,E,S,neutral,Action,0.9133785156114739
111,Employee Training,S,E,positive,Action,0.8531016756616244
112,Economic Performance,E,E,positive,Action,0.757599015019579
113,Innovation and investment in latest technology for sustainable growth,E,G,positive,Commitment,0.768516965330503
114,Labor Compliance,G,E,positive,Action,0.012712772838520126
115,corporate restructuring,G,G,"Positive, neutral",Action,0.15897129546639577
116,Compliance with financial sustainability regulations,S,G,negative,Action,0.14467760713193822
117,Access to Essential Services,S,E,positive,Outcome,0.15240080599675687
118,ESG risk level,S,G,positive,Action,0.32104644450519204
119,Kolaborasi dalam penerapan praktik sirkular untuk mengurangi jejak karbon,E,G,positive,Commitment,0.13887716968491126
120,technology development,E,E,neutral,Action,0.4623531973044154
121,Stakeholder Impact,E,E,positive,Outcome,0.6035689510798276
122,"Board Oversight, Board Oversight of Sustainability, board oversight of sustainability",E,G,positive,Action,0.6560005772362698
123,energy efficiency,"E, G",E,Neutral,Commitment,0.059023006857358506
124,Customer offering and shopping experience,E,E,positive,Outcome,0.62903552574302
125,technology for sustainability,S,E,"Positive, positive",Outcome,0.1705031596695913
126,"None, Reporting",ESG,E,positive,Commitment,0.9774978560357717
127,"Product Safety, product safety",E,E,positive,"Commitment, Outcome",0.9187264245679773
128,Reporting,E,E,positive,Commitment,0.43499080887167685
129,Business Adaptation,G,S,positive,Outcome,0.6880996093802231
130,industry trends,S,S,positive,Outcome,0.0714491119198094
131,renewable energy utilization,E,E,"POSITIVE, Positive, positive",Commitment,0.723340773121054
132,Kompleksitas pendekatan keberlanjutan,E,E,neutral,Outcome,0.20827596556709926
133,Local Product Support,E,S,positive,Commitment,0.9724504686853562
134,ISPO certification achievement,E,E,positive,Commitment,0.8995900164331224
135,competitive development in retail and distribution,S,E,positive,Commitment,0.5467660733306504
136,Environmental Impact Reduction,S,E,neutral,Commitment,0.08570238266413577
137,Gender Equality initiatives,S,S,Positive,Action,0.7406393275979719
138,Employee Welfare,S,S,positive,Commitment,0.38605086476723116
139,Plastic Reduction,E,E,positive,Commitment,0.3887697602404043
140,Renewable Energy,E,E,positive,Outcome,0.6473731153656203
141,Kesehatan Kerja,S,S,positive,Commitment,0.2478284490003979
142,Produksi amonia,E,E,positive,Commitment,0.7780783487093911
143,Education Infrastructure,G,E,positive,Commitment,0.14804092025004534
144,Ekosistem bisnis inklusif yang memastikan distribusi manfaat yang merata,S,E,positive,"Action, Commitment",0.7745385821105345
145,product diversification,S,E,negative,Action,0.6510806945701302
146,environmental and social issues,S,E,"Netral, positive",Outcome,0.20825654088302525
147,Occupational Health and Safety,S,S,positive,Outcome,0.05591011722758854
148,Sustainable Materials,,S,"Positive, positive",Outcome,0.03865237947063416
149,"Community Grievance Mechanism, Community grievance mechanism",E,G,"Netral, netral, neutral",Collaboration,0.9058960874536548
150,Mural pollution absorption,E,G,positive,"Commitment, Outcome",0.4032892377617354
151,Working environment,E,ESG,"Positif, positive",Outcome,0.7130781214573402
152,pengelolaan lingkungan,G,S,positive,Commitment,0.08049773661251902
153,Social Responsibility,S,E,positive,Action,0.732032300427449
154,Employee Statistics,G,S,positive,Commitment,0.27930465205891253
155,Environmental Cost,G,E,positive,Commitment,0.254132916135523
156,Replacing fossil fuel-powered products with cleaner alternatives,S,S,neutral,Outcome,0.5296674771822287
157,Environmental Management & Community Development,S,E,positive,Commitment,0.49828397601717656
158,Industry recognition and award,S,S,positive,Commitment,0.23230954837385553
159,Environmental,E,G,positive,Outcome,0.24316205276899672
160,employment and equal pay,E,G,positive,Commitment,0.0627850649097812
161,Currency exchange impact,S,S,positive,Commitment,0.753267904070474
162,"Sustainability Integration, sustainability integration",S,S,positive,Outcome,0.7321701837345561
163,keberlanjutan perusahaan,S,S,positive,Commitment,0.4202678534725497
164,Commitment to stakeholder value,G,S,neutral,Outcome,0.2963291793724878
165,Digitalisasi perbankan,G,E,positive,Policy,0.70387347024858
166,Corporate Governance,G,E,positive,Action,0.49494435335831755
167,Economic Performance,E,E,positive,"Action, Outcome",0.930952019202423
168,Sustainability Initiative,S,E,"POSITIVE, positive",Action,0.5412579654427752
169,Recruitment Strategy and Human Resources Planning,E,G,positive,Outcome,0.5407216948261984
170,Food Security,E,S,Neutral,Action,0.4741226250916891
171,Biodiversity,S,E,positive,Action,0.17181422290090165
172,Community Development,E,G,positive,"Action, Outcome",0.11694551363087236
173,"Financial Performance, financial performance",G,E,positive,Action,0.34139470483397183
174,Perdagangan Karbon,E,S,positive,Commitment,0.7582881547621924
175,environmentally friendly technologies,G,E,positive,Outcome,0.3405342562374054
176,Integrasi prinsip ekonomi sirkular,S,G,positive,Outcome,0.9824444424311297
177,business fundamentals and technology development,G,S,neutral,Commitment,0.5964274475857005
178,Water Re-use and Reverse Osmosis,G,E,positive,Action,0.46359411344883916
179,"Kolaborasi dengan petani, pemasok, dan komunitas lokal",S,E,positive,Action,0.2771269468243792
180,"Water Conservation, water conservation",E,E,"Positive, positive",Outcome,0.04384847174825479
181,Channel integration and customer experience,E,E,Positive,Action,0.40430705544620027
182,Business resilience,E,S,positive,Outcome,0.35354848172558084
183,Workplace Safety,E,E,neutral,Outcome,0.8559113502449635
184,Employee Health,"E, G",E,"Positive, positive",Risk,0.07097637055264638
185,"Green Building, green building",G,S,positive,Commitment,0.355821639822701
186,integrated agricultural operations,E,G,positive,Definition,0.5267813042469212
187,Reporting Credibility,E,E,positive,Commitment,0.8849346466964833
188,ESG framework,G,S,Neutral,Commitment,0.36254748554843597
189,Pemanfaatan Operasional,G,E,positive,Policy,0.16133665516815066
190,Energy efficiency and renewable energy,G,G,positive,Outcome,0.7237116745437454
191,local procurement,E,G,"Positive, positive",Commitment,0.14454213991135323
192,Financial Inclusion,G,E,positive,Outcome,0.5029692534024709
193,Big Data Management,G,G,positive,Action,0.1861179177216471
194,community development,E,E,positive,"Action, Outcome",0.6510561454649824
195,Penggunaan energi secara efisien,E,S,positive,Action,0.8034796651966514
196,Marketing and Product Awareness,E,E,positive,Commitment,0.518077634666379
197,Omni-Channel Strategy,E,S,Negative,Commitment,0.620415389763406
198,Sustainable Packaging,G,E,negative,Outcome,0.8965685340376943
199,employee development programs,G,S,positive,Commitment,0.9715618692298343
200,Transparency and Reporting,S,S,positive,Outcome,0.6830874266152352
201,ESG materiality assessment,E,E,positive,Commitment,0.9508890861424435
202,ESG Commitment,E,E,positive,Commitment,0.22922708531303804
203,Financial performance,E,G,"Positive, positive",Commitment,0.2817011916753057
204,Resource Efficiency and Climate Resilience,S,Governance,positive,Outcome,0.4342821006398354
205,Employee Count,G,E,positive,Action,0.6403132734024989
206,occupational safety,G,E,positive,Outcome,0.43997381084470033
207,Sustainability Reporting,S,E,positive,Commitment,0.5769525007879809
208,CSR Funding,S,S,positive,Warning,0.0914727002872352
209,Governance,E,E,positive,Commitment,0.18253844879303904
210,environmental education to community,E,E,"Positive, positive",Commitment,0.8661134240116265
211,Water Resource Management,S,E,positive,Commitment,0.3824635146127031
212,Waste Reduction Initiative,S,E,positive,Collaboration,0.0279145143089381
213,Responsible Use of AI,G,S,positive,Action,0.8449965173554026
214,innovation and technology,"G, S",S,neutral,Outcome,0.720010233664842
215,ESG performance and climate-related risk governance oversight,E,S,positive,Commitment,0.266316521030042
216,Sustainability Assurance Scope,S,E,positive,Action,0.06866351203824905
217,Three Zeros commitments as guiding principle,S,S,positive,Commitment,0.9679811310265714
