run_idx,record_idx,timestamp,model,target,prompt,text,aspect,esg,tone,sentiment,sentiment_score,labels,reasoning,target_doc,text_len_words
103,0,2026-06-03T18:38:40Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_7,tone_chain_of_thought_indonesian.md,"Elevating Lives, Building Sustainable Growth",strategic vision,e,commitment,positive,1.0,"['climate-d', 'climate-commitment']","The phrase expresses a forward‑looking sustainability ambition and explicitly states a commitment to sustainable growth, fitting the climate‑d and climate‑commitment categories. It reflects an environmental focus, thus ESG is E. The tone is a declared commitment, and the sentiment is positive, scored as 1.",Sustainability_Report_PT_Sentul_City_Tbk_2025,5
103,1,2026-06-03T18:38:40Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_7,tone_chain_of_thought_indonesian.md,Pengembangan kawasan yang dilaksanakan oleh Perseroan sesuai dengan Tujuan Pembangunan Berkelanjutan/TPB (Sustainable Development Goals/SDGs) ... menyediakan ruang terbuka hijau ... dapat memberikan kontribusi positif terkait penanganan perubahan iklim.,environmental mitigation through green open spaces,e,outcome,positive,1.0,"['climate-d-s', 'environmental-claims']","The sentence describes a concrete action (providing green open spaces) and its expected outcome (mitigating climate change), which matches the climate‑d‑s and environmental‑claims labels. It is an environmental initiative, so ESG is E. The tone is outcome‑oriented, sentiment is positive, scored 1.",Sustainability_Report_PT_Sentul_City_Tbk_2025,28
103,2,2026-06-03T18:38:40Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_7,tone_chain_of_thought_indonesian.md,Kampanye nilai-nilai keberlanjutan mulai dari ruang lingkup terkecil dan terbatas sampai dengan ruang lingkup yang lebih luas perlu terus didorong agar nilai-nilai tersebut menjadi suatu budaya keberlanjutan. Efektivitas model kampanye nilai keberlanjutan perlu dievaluasi secara berkala agar secara periodik dapat dilakukan perbaikan dan penyesuaian dengan kondisi lingkungan usaha.,internal sustainability culture and governance,g,commitment,neutral,0.0,['governance'],"The excerpt discusses promoting sustainability values and evaluating campaigns, which pertains to governance of ESG practices. It is a commitment to cultural change without a clear positive or negative outcome, hence neutral sentiment scored 0.",Sustainability_Report_PT_Sentul_City_Tbk_2025,48
104,0,2026-06-03T18:39:09Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_few_shot_indonesian.md,"Perseroan senantiasa berkomitmen agar dapat memberikan kontribusi yang baik terkait perbaikan, pemeliharaan dan pengembangan Lingkungan Hidup, Pemberdayaan Masyarakat, Pendidikan dan Pengembangan Sosial Kemasyarakatan lainnya, di sekitar wilayah Perseroan beroperasi, sesuai kemampuan dan perkembangan yang ada.",komitmen lingkungan dan sosial,e,commitment,neutral,0.0,['environmental-claims'],Explicit statement of commitment to environmental and social initiatives without quantifiable outcome.,Sustainability_Report_PT_Sentul_City_Tbk_2025,35
104,1,2026-06-03T18:39:09Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_few_shot_indonesian.md,Pengembangan kawasan yang dilaksanakan oleh Perseroan sesuai dengan Tujuan Pembangunan Berkelanjutan/TPB tersebut antara lain adalah senantiasa menyediakan ruang terbuka hijau sesuai dengan ketentuan serta menanami ruang terbuka hijau yang ada dengan berbagai jenis pohon yang dipilih secara selektif.,pemberian ruang terbuka hijau dan penanaman pohon,e,action,neutral,0.0,"['environmental-claims', 'climate-d-s']","Specific action of providing and planting green open spaces, a concrete environmental initiative.",Sustainability_Report_PT_Sentul_City_Tbk_2025,38
104,2,2026-06-03T18:39:09Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_few_shot_indonesian.md,Keselarasan antara aspek pembangunan berkelanjutan dan pembangunan kawasan merupakan prioritas Perseroan.,prioritas pembangunan berkelanjutan,e,none,neutral,0.0,['strategy'],Declaration of priority without specific action or measurable outcome.,Sustainability_Report_PT_Sentul_City_Tbk_2025,11
104,3,2026-06-03T18:39:09Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_few_shot_indonesian.md,Terdapat tiga rencana pembangunan jalan tol baru yang nantinya akan berada di sekitar Sentul City.,rencana pembangunan infrastruktur jalan tol,e,commitment,neutral,0.0,['climate-f'],"Forward‑looking statement about planned toll road developments, indicating future action.",Sustainability_Report_PT_Sentul_City_Tbk_2025,15
104,4,2026-06-03T18:39:09Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_few_shot_indonesian.md,Perseroan berupaya agar tetap sejalan dengan Tujuan Pembangunan Berkelanjutan/TPB (Sustainable Development Goals/SDGs) dan menghindari hal-hal yang bertentangan dengan Tujuan Pembangunan Berkelanjutan/TPB (Sustainable Development Goals/SDGs).,penyelarasan dengan sdgs,e,none,neutral,0.0,['climate-d'],"General alignment statement with sustainability goals, lacking specific commitment or outcome.",Sustainability_Report_PT_Sentul_City_Tbk_2025,24
104,5,2026-06-03T18:39:09Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_few_shot_indonesian.md,Kesimpulan ... Perseroan telah memberikan kontribusi jasa lanskap yang baik dan Ruang Terbuka Hijau Privat Perseroan aset ekologis sekaligus modal sosial - ekonomi yang memperkuat daya saing kawasan permukiman berkelanjutan.,kontribusi lingkungan dan sosial yang telah dicapai,e,outcome,positive,1.0,['environmental-claims'],"Statement of achieved contribution, indicating a positive outcome.",Sustainability_Report_PT_Sentul_City_Tbk_2025,30
105,0,2026-06-03T18:39:59Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_zero_shot_indonesian.md,"PT Sentul City Tbk, under the theme “Elevating Lives, Building Sustainable Growth,” reflects its commitment to developing a township that delivers tangible benefits to its residents while preserving environmental sustainability.",sustainability,e,commitment,neutral,0.0,[],"The segment mentions the company's commitment to sustainable growth, indicating an environmental focus (E) without specifying measurable results.",Sustainability_Report_PT_Sentul_City_Tbk_2025,30
105,1,2026-06-03T18:39:59Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_zero_shot_indonesian.md,"This commitment is realized through the development of a self-sustained city that seamlessly integrates nature, premium facilities, and convenient access.",self-sustained city integration,e,action,neutral,0.0,['climate-d-s'],"The statement describes the company's action of building a self‑sustained city that integrates nature, reflecting an environmental (E) focus with a specific sustainability approach.",Sustainability_Report_PT_Sentul_City_Tbk_2025,20
105,2,2026-06-03T18:39:59Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_zero_shot_indonesian.md,"The Company’s missions are further optimized with the development of Biotown, an integrated area envisioned as Indonesia’s first health-focused city.",biotown development,s,commitment,neutral,0.0,[],"The segment highlights the development of Biotown as part of the company's mission, indicating a strategic commitment (commitment tone) with a social (S) dimension.",Sustainability_Report_PT_Sentul_City_Tbk_2025,20
105,3,2026-06-03T18:39:59Z,nvidia/nemotron-3-nano-30b-a3b:free,Sustainability_Report_PT_Sentul_City_Tbk_2025_pdf/batch_8,tone_zero_shot_indonesian.md,"Aligned with the Sustainable Development Goals (SDGs), the Company's development approach includes providing green open spaces that follow regulatory requirements and planting them with a carefully selected variety of vegetations.",green open spaces provision,e,action,neutral,0.0,['climate-d-s'],"The company describes its action of providing regulated green open spaces and planting selected vegetation, reflecting an environmental (E) initiative.",Sustainability_Report_PT_Sentul_City_Tbk_2025,30
